name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Adarkar Wastes,"U, W",,,0.0,Land,,,
Tundra,"U, W",,,0.0,Land — Plains Island,,,
Momentary Blink,"U, W",W,{1}{W},2.0,Instant,Flashback,,
Aethermage's Touch,"U, W","U, W",{2}{W}{U},4.0,Instant,,,
Drogskol Reaver,"U, W","U, W",{5}{W}{U},7.0,Creature — Spirit,"Double strike, Flying, Lifelink",3,5
Grand Arbiter Augustin IV,"U, W","U, W",{2}{W}{U},4.0,Legendary Creature — Human Advisor,,2,3
Lyev Skyknight,"U, W","U, W",{1}{W}{U},3.0,Creature — Human Knight,"Detain, Flying",3,1
Mistmeadow Witch,"U, W","U, W",{1}{W/U},2.0,Creature — Kithkin Wizard,,1,1
Supreme Verdict,"U, W","U, W",{1}{W}{W}{U},4.0,Sorcery,,,
Thistledown Liege,"U, W","U, W",{1}{W/U}{W/U}{W/U},4.0,Creature — Kithkin Knight,Flash,1,3
Azorius Chancery,"U, W",,,0.0,Land,,,
Geist of Saint Traft,"U, W","U, W",{1}{W}{U},3.0,Legendary Creature — Spirit Cleric,Hexproof,2,2
Glassdust Hulk,"U, W","U, W",{3}{W}{U},5.0,Artifact Creature — Golem,Cycling,3,4
"Hanna, Ship's Navigator","U, W","U, W",{1}{W}{U},3.0,Legendary Creature — Human Artificer,,1,2
Meddling Mage,"U, W","U, W",{W}{U},2.0,Creature — Human Wizard,,2,2
Mystic Gate,"U, W",,,0.0,Land,,,
Belisarius Cawl,"U, W","U, W",{2}{W}{U},4.0,Legendary Artifact Creature — Human,"Master of Machines, Ultima Founding",2,4
Epistolary Librarian,"U, W","U, W",{2}{W}{U},4.0,Creature — Astartes Wizard,Veil of Time,3,4
Talisman of Progress,"U, W",,{2},2.0,Artifact,,,
Port Town,"U, W",,,0.0,Land,,,
Prairie Stream,"U, W",,,0.0,Land — Plains Island,,,
Skycloud Expanse,"U, W",,,0.0,Land,,,
Tranquil Cove,"U, W",,,0.0,Land,,,
Arenson's Aura,"U, W",W,{2}{W},3.0,Enchantment,,,
Coastal Tower,"U, W",,,0.0,Land,,,
Court Hussar,"U, W",U,{2}{U},3.0,Creature — Vedalken Knight,Vigilance,1,3
Cloudblazer,"U, W","U, W",{3}{W}{U},5.0,Creature — Human Scout,Flying,2,2
Haytham Kenway,"U, W","U, W",{2}{W}{U},4.0,Legendary Creature — Human Knight,Protection,3,3
"Sokrates, Athenian Teacher","U, W","U, W",{1}{W}{U},3.0,Legendary Creature — Human Advisor,"Defender, Sokratic Dialogue",0,4
Spire Patrol,"U, W","U, W",{2}{W}{U},4.0,Creature — Human Soldier,Flying,3,2
Midnight Pathlighter,"U, W","U, W",{2}{W}{U},4.0,Creature — Human Wizard,Venture into the dungeon,2,3
Vanish into Memory,"U, W","U, W",{2}{W}{U},4.0,Instant,,,
Nimbus Maze,"U, W",,,0.0,Land,,,
"Hama Pashar, Ruin Seeker","U, W","U, W",{1}{W}{U},3.0,Legendary Creature — Human Wizard,,2,3
Monk Class,"U, W","U, W",{W}{U},2.0,Enchantment — Class,,,
Aven Wind Guide,"U, W","U, W",{2}{W}{U},4.0,Creature — Bird Warrior,"Embalm, Flying, Vigilance",2,3
"Temmet, Vizier of Naktamun","U, W","U, W",{W}{U},2.0,Legendary Creature — Human Cleric,Embalm,2,2
Failure // Comply,"U, W",U,{1}{U},3.0,Instant,,,
Irrigated Farmland,"U, W",,,0.0,Land — Plains Island,Cycling,,
Meandering River,"U, W",,,0.0,Land,,,
Farm // Market,"U, W",W,{2}{W},6.0,Instant,,,
Sphinx's Revelation,"U, W","U, W",{X}{W}{U}{U},3.0,Instant,,,
Sighted-Caste Sorcerer,"U, W",W,{1}{W},2.0,Creature — Human Wizard,Exalted,1,1
Cloudheath Drake,"U, W",U,{4}{U},5.0,Artifact Creature — Drake,Flying,3,3
Dawnray Archer,"U, W",U,{2}{U},3.0,Creature — Human Archer,Exalted,1,1
Protomatter Powder,"U, W",U,{2}{U},3.0,Artifact,,,
Deft Duelist,"U, W","U, W",{W}{U},2.0,Creature — Human Rogue,"First strike, Shroud",2,1
Hindering Light,"U, W","U, W",{W}{U},2.0,Instant,,,
Kiss of the Amesha,"U, W","U, W",{4}{W}{U},6.0,Sorcery,,,
