name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Bant Charm,"G, U, W","G, U, W",{G}{W}{U},3.0,Instant,,,
Empyrial Archangel,"G, U, W","G, U, W",{4}{G}{W}{W}{U},8.0,Creature — Angel,"Flying, Shroud",5,8
Rafiq of the Many,"G, U, W","G, U, W",{1}{G}{W}{U},4.0,Legendary Creature — Human Knight,Exalted,3,3
Roon of the Hidden Realm,"G, U, W","G, U, W",{2}{G}{W}{U},5.0,Legendary Creature — Rhino Soldier,"Trample, Vigilance",4,4
Noble Hierarch,"G, U, W",G,{G},1.0,Creature — Human Druid,Exalted,0,1
"Shaun & Rebecca, Agents","G, U, W","G, U, W",{1}{G}{W}{U},4.0,Legendary Creature — Human Assassin Scientist,"Mill, Vigilance",4,4
"Galea, Kindler of Hope","G, U, W","G, U, W",{1}{G}{W}{U},4.0,Legendary Creature — Elf Knight,Vigilance,4,4
"Storvald, Frost Giant Jarl","G, U, W","G, U, W",{4}{G}{W}{U},7.0,Legendary Creature — Giant,Ward,7,7
Seaside Citadel,"G, U, W",,,0.0,Land,,,
Bant Battlemage,"G, U, W",W,{2}{W},3.0,Creature — Human Wizard,,2,2
Resounding Silence,"G, U, W",W,{3}{W},4.0,Instant,Cycling,,
Clarion Ultimatum,"G, U, W","G, U, W",{G}{G}{W}{W}{W}{U}{U},7.0,Sorcery,,,
Rhox War Monk,"G, U, W","G, U, W",{G}{W}{U},3.0,Creature — Rhino Monk,Lifelink,3,4
Stoic Angel,"G, U, W","G, U, W",{1}{G}{W}{U},4.0,Creature — Angel,"Flying, Vigilance",3,4
Waveskimmer Aven,"G, U, W","G, U, W",{2}{G}{W}{U},5.0,Creature — Bird Soldier,"Exalted, Flying",2,4
Obelisk of Bant,"G, U, W",,{3},3.0,Artifact,,,
Phelddagrif,"G, U, W","G, U, W",{1}{G}{W}{U},4.0,Legendary Creature — Phelddagrif,,4,4
Bant Sojourners,"G, U, W","G, U, W",{1}{G}{W}{U},4.0,Creature — Human Soldier,Cycling,2,4
Finest Hour,"G, U, W","G, U, W",{2}{G}{W}{U},5.0,Enchantment,Exalted,,
Flurry of Wings,"G, U, W","G, U, W",{G}{W}{U},3.0,Instant,,,
"Jenara, Asura of War","G, U, W","G, U, W",{G}{W}{U},3.0,Legendary Creature — Angel,Flying,3,3
Wargate,"G, U, W","G, U, W",{X}{G}{W}{U},3.0,Sorcery,,,
Bant Sureblade,"G, U, W","G, U, W",{G/U}{W},2.0,Creature — Human Soldier,,2,1
Crystallization,"G, U, W","G, U, W",{G/U}{W},2.0,Enchantment — Aura,Enchant,,
Messenger Falcons,"G, U, W","G, U, W",{2}{G/U}{W},4.0,Creature — Bird,Flying,2,2
Arcades Sabboth,"G, U, W","G, U, W",{2}{G}{G}{W}{W}{U}{U},8.0,Legendary Creature — Elder Dragon,Flying,7,7
