name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Afflict,B,B,{2}{B},3.0,Instant,,,
Agonizing Memories,B,B,{2}{B}{B},4.0,Sorcery,,,
Ascendant Evincar,B,B,{4}{B}{B},6.0,Legendary Creature — Phyrexian Vampire Noble,Flying,3,3
Assassinate,B,B,{2}{B},3.0,Sorcery,,,
Beacon of Unrest,B,B,{3}{B}{B},5.0,Sorcery,,,
Bog Wraith,B,B,{3}{B},4.0,Creature — Wraith,Swampwalk,3,3
Consume Spirit,B,B,{X}{1}{B},2.0,Sorcery,,,
Contaminated Bond,B,B,{1}{B},2.0,Enchantment — Aura,Enchant,,
Cruel Edict,B,B,{1}{B},2.0,Sorcery,,,
Deathmark,B,B,{B},1.0,Sorcery,,,
Diabolic Tutor,B,B,{2}{B}{B},4.0,Sorcery,,,
Distress,B,B,{B}{B},2.0,Sorcery,,,
Doomed Necromancer,B,B,{2}{B},3.0,Creature — Human Cleric Mercenary,,2,2
Dross Crocodile,B,B,{3}{B},4.0,Creature — Zombie Crocodile,,5,1
Drudge Skeletons,B,B,{1}{B},2.0,Creature — Skeleton,,1,1
Dusk Imp,B,B,{2}{B},3.0,Creature — Imp,Flying,2,1
Essence Drain,B,B,{4}{B},5.0,Sorcery,,,
Fear,B,B,{B}{B},2.0,Enchantment — Aura,Enchant,,
Festering Goblin,B,B,{B},1.0,Creature — Zombie Goblin,,1,1
Grave Pact,B,B,{1}{B}{B}{B},4.0,Enchantment,,,
Graveborn Muse,B,B,{2}{B}{B},4.0,Creature — Zombie Spirit,,3,3
Gravedigger,B,B,{3}{B},4.0,Creature — Zombie,,2,2
Hate Weaver,B,B,{1}{B},2.0,Creature — Zombie Wizard,,2,1
Head Games,B,B,{3}{B}{B},5.0,Sorcery,,,
Hidden Horror,B,B,{1}{B}{B},3.0,Creature — Horror,,4,4
Highway Robber,B,B,{2}{B}{B},4.0,Creature — Human Mercenary,,2,2
Hypnotic Specter,B,B,{1}{B}{B},3.0,Creature — Specter,Flying,2,2
Knight of Dusk,B,B,{1}{B}{B},3.0,Creature — Human Knight,,2,2
Looming Shade,B,B,{2}{B},3.0,Creature — Shade,,1,1
Lord of the Pit,B,B,{4}{B}{B}{B},7.0,Creature — Demon,"Flying, Trample",7,7
Lord of the Undead,B,B,{1}{B}{B},3.0,Creature — Zombie,,2,2
Mass of Ghouls,B,B,{3}{B}{B},5.0,Creature — Zombie Warrior,,5,3
Megrim,B,B,{2}{B},3.0,Enchantment,,,
Midnight Ritual,B,B,{X}{2}{B},3.0,Sorcery,,,
Mind Rot,B,B,{2}{B},3.0,Sorcery,,,
Mortal Combat,B,B,{2}{B}{B},4.0,Enchantment,,,
Mortivore,B,B,{2}{B}{B},4.0,Creature — Lhurgoyf,,*,*
Nantuko Husk,B,B,{2}{B},3.0,Creature — Zombie Insect,,2,2
Nekrataal,B,B,{2}{B}{B},4.0,Creature — Human Assassin,First strike,2,1
Nightmare,B,B,{5}{B},6.0,Creature — Nightmare Horse,Flying,*,*
No Rest for the Wicked,B,B,{1}{B},2.0,Enchantment,,,
Phage the Untouchable,B,B,{3}{B}{B}{B}{B},7.0,Legendary Creature — Avatar Minion,,4,4
Phyrexian Rager,B,B,{2}{B},3.0,Creature — Phyrexian Horror,,2,2
Plague Beetle,B,B,{B},1.0,Creature — Insect,Swampwalk,1,1
Plague Wind,B,B,{7}{B}{B},9.0,Sorcery,,,
Rain of Tears,B,B,{1}{B}{B},3.0,Sorcery,,,
Ravenous Rats,B,B,{1}{B},2.0,Creature — Rat,,1,1
Recover,B,B,{2}{B},3.0,Sorcery,,,
Relentless Rats,B,B,{1}{B}{B},3.0,Creature — Rat,,2,2
Royal Assassin,B,B,{1}{B}{B},3.0,Creature — Human Assassin,,1,1
Scathe Zombies,B,B,{2}{B},3.0,Creature — Zombie,,2,2
Sengir Vampire,B,B,{3}{B}{B},5.0,Creature — Vampire,Flying,4,4
Severed Legion,B,B,{1}{B}{B},3.0,Creature — Zombie,Fear,2,2
Sleeper Agent,B,B,{B},1.0,Creature — Phyrexian Minion,,3,3
Soul Feast,B,B,{3}{B}{B},5.0,Sorcery,,,
Spineless Thug,B,B,{1}{B},2.0,Creature — Phyrexian Zombie Mercenary,,2,2
Stronghold Discipline,B,B,{2}{B}{B},4.0,Sorcery,,,
