name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Academy Researchers,U,U,{1}{U}{U},3.0,Creature — Human Wizard,,2,2
Air Elemental,U,U,{3}{U}{U},5.0,Creature — Elemental,Flying,4,4
Ambassador Laquatus,U,U,{1}{U}{U},3.0,Legendary Creature — Merfolk Wizard,Mill,1,3
Arcanis the Omnipotent,U,U,{3}{U}{U}{U},6.0,Legendary Creature — Wizard,,3,4
Aura Graft,U,U,{1}{U},2.0,Instant,,,
Aven Fisher,U,U,{3}{U},4.0,Creature — Bird Soldier,Flying,2,2
Aven Windreader,U,U,{3}{U}{U},5.0,Creature — Bird Soldier Wizard,Flying,3,3
Boomerang,U,U,{U}{U},2.0,Instant,,,
Cancel,U,U,{1}{U}{U},3.0,Instant,,,
Cephalid Constable,U,U,{1}{U}{U},3.0,Creature — Octopus Wizard,,1,1
Clone,U,U,{3}{U},4.0,Creature — Shapeshifter,,0,0
Cloud Elemental,U,U,{2}{U},3.0,Creature — Elemental,Flying,2,3
Cloud Sprite,U,U,{U},1.0,Creature — Faerie,Flying,1,1
Counsel of the Soratami,U,U,{2}{U},3.0,Sorcery,,,
Crafty Pathmage,U,U,{2}{U},3.0,Creature — Human Wizard,,1,1
Dehydration,U,U,{3}{U},4.0,Enchantment — Aura,Enchant,,
Deluge,U,U,{2}{U},3.0,Instant,,,
Denizen of the Deep,U,U,{6}{U}{U},8.0,Creature — Serpent,,11,11
Discombobulate,U,U,{2}{U}{U},4.0,Instant,,,
Dreamborn Muse,U,U,{2}{U}{U},4.0,Creature — Spirit,Mill,2,2
Evacuation,U,U,{3}{U}{U},5.0,Instant,,,
Flashfreeze,U,U,{1}{U},2.0,Instant,,,
Fog Elemental,U,U,{2}{U},3.0,Creature — Elemental,Flying,4,4
Fugitive Wizard,U,U,{U},1.0,Creature — Human Wizard,,1,1
Horseshoe Crab,U,U,{2}{U},3.0,Creature — Crab,,1,3
Hurkyl's Recall,U,U,{1}{U},2.0,Instant,,,
Lumengrid Warden,U,U,{1}{U},2.0,Creature — Human Wizard,,1,3
Mahamoti Djinn,U,U,{4}{U}{U},6.0,Creature — Djinn,Flying,5,6
March of the Machines,U,U,{3}{U},4.0,Enchantment,,,
Merfolk Looter,U,U,{1}{U},2.0,Creature — Merfolk Rogue,,1,1
