name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Battlefield Forge,"R, W",,,0.0,Land,,,
Plateau,"R, W",,,0.0,Land — Mountain Plains,,,
"Aurelia, the Warleader","R, W","R, W",{2}{R}{R}{W}{W},6.0,Legendary Creature — Angel,"Flying, Haste, Vigilance",3,4
Balefire Liege,"R, W","R, W",{2}{R/W}{R/W}{R/W},5.0,Creature — Spirit Horror,,2,4
Figure of Destiny,"R, W","R, W",{R/W},1.0,Creature — Kithkin,,1,1
Firesong and Sunspeaker,"R, W","R, W",{4}{R}{W},6.0,Legendary Creature — Minotaur Cleric,,4,6
Heroic Reinforcements,"R, W","R, W",{2}{R}{W},4.0,Sorcery,,,
Legion's Initiative,"R, W","R, W",{R}{W},2.0,Enchantment,,,
Lightning Helix,"R, W","R, W",{R}{W},2.0,Instant,,,
Martial Glory,"R, W","R, W",{R}{W},2.0,Instant,,,
Tenth District Legionnaire,"R, W","R, W",{R}{W},2.0,Creature — Human Soldier,"Haste, Scry",2,2
Boros Garrison,"R, W",,,0.0,Land,,,
Swiftblade Vindicator,"R, W","R, W",{R}{W},2.0,Creature — Human Soldier,"Double strike, Trample, Vigilance",1,1
Weapons Trainer,"R, W","R, W",{R}{W},2.0,Creature — Human Soldier Ally,,3,2
Sunforger,"R, W",,{3},3.0,Artifact — Equipment,Equip,,
Rugged Prairie,"R, W",,,0.0,Land,,,
Boros Charm,"R, W","R, W",{R}{W},2.0,Instant,,,
Brion Stoutarm,"R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Giant Warrior,Lifelink,4,4
"Gisela, Blade of Goldnight","R, W","R, W",{4}{R}{W}{W},7.0,Legendary Creature — Angel,"First strike, Flying",5,5
Arbaaz Mir,"R, W","R, W",{R}{W},2.0,Legendary Creature — Human Assassin,,2,2
Aya of Alexandria,"R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Human Assassin,"Lifelink, Menace",4,3
Bayek of Siwa,"R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Human Assassin,"Disguise, Double strike",3,4
"Ezio, Brash Novice","R, W","R, W",{1}{R/W},2.0,Legendary Creature — Human,,1,1
"Kassandra, Eagle Bearer","R, W","R, W",{1}{R}{W},3.0,Legendary Creature — Human Assassin Warrior,Haste,2,2
Reconstruct History,"R, W","R, W",{2}{R}{W},4.0,Sorcery,,,
Sunbaked Canyon,"R, W",,,0.0,Land,,,
"Eivor, Battle-Ready","R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Human Assassin Warrior,"Haste, Vigilance",5,5
Bureau Headmaster,"R, W","R, W",{R}{W},2.0,Creature — Human Assassin,,2,2
Raven Clan War-Axe,"R, W","R, W",{1}{R}{W},3.0,Artifact — Equipment,Equip,,
Stone Quarry,"R, W",,,0.0,Land,,,
Renegade Wheelsmith,"R, W","R, W",{1}{R}{W},3.0,Creature — Dwarf Pilot,,3,2
Adult Gold Dragon,"R, W","R, W",{3}{R}{W},5.0,Creature — Dragon,"Flying, Haste, Lifelink",4,3
Bruenor Battlehammer,"R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Dwarf Warrior,,5,3
A-Bruenor Battlehammer,"R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Dwarf Warrior,,5,4
Fighter Class,"R, W","R, W",{R}{W},2.0,Enchantment — Class,,,
Honored Crop-Captain,"R, W","R, W",{R}{W},2.0,Creature — Human Warrior,,3,2
Onward // Victory,"R, W",R,{2}{R},6.0,Instant,,,
Leave // Chance,"R, W",W,{1}{W},6.0,Instant,,,
Ajani Vengeant,"R, W","R, W",{2}{R}{W},4.0,Legendary Planeswalker — Ajani,,,
Bull Cerodon,"R, W","R, W",{4}{R}{W},6.0,Creature — Beast,"Haste, Vigilance",5,5
Angelfire Crusader,"R, W",W,{3}{W},4.0,Creature — Human Soldier Knight,,2,3
Orim's Thunder,"R, W",W,{2}{W},3.0,Instant,Kicker,,
Desolation Giant,"R, W",R,{2}{R}{R},4.0,Creature — Giant,Kicker,3,3
Captain's Maneuver,"R, W","R, W",{X}{R}{W},2.0,Instant,,,
Flowstone Charger,"R, W","R, W",{2}{R}{W},4.0,Creature — Beast,,2,5
Goblin Legionnaire,"R, W","R, W",{R}{W},2.0,Creature — Goblin Soldier,,2,2
Goblin Trenches,"R, W","R, W",{1}{R}{W},3.0,Enchantment,,,
Powerstone Minefield,"R, W","R, W",{2}{R}{W},4.0,Enchantment,,,
Squee's Embrace,"R, W","R, W",{R}{W},2.0,Enchantment — Aura,Enchant,,
Order // Chaos,"R, W",W,{3}{W},7.0,Instant,,,
Cerodon Yearling,"R, W","R, W",{R}{W},2.0,Creature — Beast,"Haste, Vigilance",2,2
Fight to the Death,"R, W","R, W",{R}{W},2.0,Instant,,,
Glory of Warfare,"R, W","R, W",{2}{R}{W},4.0,Enchantment,,,
Intimidation Bolt,"R, W","R, W",{1}{R}{W},3.0,Instant,,,
Stun Sniper,"R, W","R, W",{R}{W},2.0,Creature — Human Archer,,1,1
Slayers' Stronghold,"R, W",,,0.0,Land,,,
Angelic Captain,"R, W","R, W",{3}{R}{W},5.0,Creature — Angel Ally,Flying,4,3
"Munda, Ambush Leader","R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Kor Ally,"Haste, Rally",3,4
Resolute Blademaster,"R, W","R, W",{3}{R}{W},5.0,Creature — Human Soldier Ally,Rally,2,2
"Mabel, Heir to Cragflame","R, W","R, W",{1}{R}{W},3.0,Legendary Creature — Mouse Soldier,,3,3
Seedglaive Mentor,"R, W","R, W",{1}{R}{W},3.0,Creature — Mouse Soldier,"Haste, Valiant, Vigilance",3,2
Veteran Guardmouse,"R, W","R, W",{3}{R/W},4.0,Creature — Mouse Soldier,"Scry, Valiant",3,4
Boros Signet,"R, W",,{2},2.0,Artifact,,,
Clifftop Retreat,"R, W",,,0.0,Land,,,
Sunscorched Divide,"R, W",,,0.0,Land,,,
Temple of Triumph,"R, W",,,0.0,Land,Scry,,
Akroan Phalanx,"R, W",W,{3}{W},4.0,Creature — Human Soldier,Vigilance,3,3
"Arcee, Sharpshooter // Arcee, Acrobatic Coupe","R, W","R, W",{1}{R}{W},3.0,Legendary Artifact Creature — Robot,"Convert, First strike, More Than Meets the Eye",2,2
Fallaji Vanguard,"R, W","R, W",{2}{R}{W},4.0,Creature — Human Soldier,First strike,2,3
Queen Kayla bin-Kroog,"R, W","R, W",{1}{R}{W},3.0,Legendary Creature — Human Noble,,2,3
Boros Guildgate,"R, W",,,0.0,Land — Gate,,,
"Anya, Merciless Angel","R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Angel,Flying,4,4
"Kalemne, Disciple of Iroas","R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Giant Soldier,"Double strike, Vigilance",3,3
Boros Cluestone,"R, W",,{3},3.0,Artifact,,,
Ancient Amphitheater,"R, W",,,0.0,Land,,,
Wind-Scarred Crag,"R, W",,,0.0,Land,,,
"Akiri, Line-Slinger","R, W","R, W",{R}{W},2.0,Legendary Creature — Kor Soldier Ally,"First strike, Partner, Vigilance",0,3
"Bruse Tarl, Boorish Herder","R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Human Ally,Partner,3,3
"Iroas, God of Victory","R, W","R, W",{2}{R}{W},4.0,Legendary Enchantment Creature — God,Indestructible,7,4
"Jor Kadeen, the Prevailer","R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Human Warrior,"First strike, Metalcraft",5,4
"Gerrard, Weatherlight Hero","R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Human Soldier,First strike,3,3
"Adriana, Captain of the Guard","R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Human Knight,Melee,4,4
"Nahiri, the Harbinger","R, W","R, W",{2}{R}{W},4.0,Legendary Planeswalker — Nahiri,,,
"Alibou, Ancient Witness","R, W","R, W",{3}{R}{W},5.0,Legendary Artifact Creature — Golem,Scry,4,5
"Osgir, the Reconstructor","R, W","R, W",{2}{R}{W},4.0,Legendary Creature — Giant Artificer,Vigilance,4,4
Wake the Past,"R, W","R, W",{5}{R}{W},7.0,Sorcery,,,
Boros Locket,"R, W",,{3},3.0,Artifact,,,
"Sunhome, Fortress of the Legion","R, W",,,0.0,Land,,,
Commander Liara Portyr,"R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Human Soldier,,5,3
Duke Ulder Ravengard,"R, W","R, W",{4}{R}{W},6.0,Legendary Creature — Human Noble Soldier,,5,5
Commander Mustard,"R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Human Soldier,"Trample, Vigilance",5,5
Hall,"R, W",,,0.0,Land,Investigate,,
Aegis of the Legion,"R, W","R, W",{R}{W},2.0,Artifact — Equipment,Equip,,
Boros Strike-Captain,"R, W","R, W",{1}{R/W}{R/W},3.0,Creature — Minotaur Soldier,Battalion,3,3
Ordruun Mentor,"R, W","R, W",{2}{R/W},3.0,Creature — Minotaur Soldier,Mentor,3,2
Towering Thunderfist,"R, W",R,{4}{R},5.0,Creature — Giant Soldier,,4,4
Firemane Avenger,"R, W","R, W",{2}{R}{W},4.0,Creature — Angel,"Battalion, Flying",3,3
Fresh-Faced Recruit,"R, W","R, W",{1}{R/W},2.0,Creature — Human Soldier,,2,1
Integrity // Intervention,"R, W","W, R",{R/W},5.0,Instant,,,
Sacred Foundry,"R, W",,,0.0,Land — Mountain Plains,,,
"Basandra, Battle Seraph","R, W","R, W",{3}{R}{W},5.0,Legendary Creature — Angel,Flying,4,4
Boros Guildmage,"R, W","R, W",{R/W}{R/W},2.0,Creature — Human Wizard,,2,2
Duergar Hedge-Mage,"R, W","R, W",{2}{R/W},3.0,Creature — Dwarf Shaman,,2,2
Master Warcraft,"R, W","R, W",{2}{R/W}{R/W},4.0,Instant,,,
Start // Fire,"R, W",W,{2}{W},5.0,Instant,,,
