name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Angel's Feather,None,,{2},2.0,Artifact,,,
Bottle Gnomes,None,,{3},3.0,Artifact Creature — Gnome,,1,3
Chimeric Staff,None,,{4},4.0,Artifact,,,
Chromatic Star,None,,{1},1.0,Artifact,,,
Citanul Flute,None,,{5},5.0,Artifact,,,
Coat of Arms,None,,{5},5.0,Artifact,,,
Colossus of Sardia,None,,{9},9.0,Artifact Creature — Golem,Trample,9,9
Crucible of Worlds,None,,{3},3.0,Artifact,,,
Demon's Horn,None,,{2},2.0,Artifact,,,
Doubling Cube,None,,{2},2.0,Artifact,,,
Dragon's Claw,None,,{2},2.0,Artifact,,,
Fountain of Youth,None,,{0},0.0,Artifact,,,
The Hive,None,,{5},5.0,Artifact,,,
Howling Mine,None,,{2},2.0,Artifact,,,
Icy Manipulator,None,,{4},4.0,Artifact,,,
Jayemdae Tome,None,,{4},4.0,Artifact,,,
Juggernaut,None,,{4},4.0,Artifact Creature — Juggernaut,,5,3
Kraken's Eye,None,,{2},2.0,Artifact,,,
Leonin Scimitar,None,,{1},1.0,Artifact — Equipment,Equip,,
Loxodon Warhammer,None,,{3},3.0,Artifact — Equipment,Equip,,
Mantis Engine,None,,{5},5.0,Artifact Creature — Insect,,3,3
Millstone,None,,{2},2.0,Artifact,Mill,,
Mind Stone,None,,{2},2.0,Artifact,,,
Ornithopter,None,,{0},0.0,Artifact Creature — Thopter,Flying,0,2
Phyrexian Vault,None,,{3},3.0,Artifact,,,
Pithing Needle,None,,{1},1.0,Artifact,,,
Platinum Angel,None,,{7},7.0,Artifact Creature — Angel,Flying,4,4
Razormane Masticore,None,,{5},5.0,Artifact Creature — Masticore,First strike,5,5
Rod of Ruin,None,,{4},4.0,Artifact,,,
Sculpting Steel,None,,{3},3.0,Artifact,,,
Spellbook,None,,{0},0.0,Artifact,,,
Steel Golem,None,,{3},3.0,Artifact Creature — Golem,,3,4
Whispersilk Cloak,None,,{3},3.0,Artifact — Equipment,Equip,,
Wurm's Tooth,None,,{2},2.0,Artifact,,,
Quicksand,None,,,0.0,Land,,,
Terramorphic Expanse,None,,,0.0,Land,,,
Ankh of Mishra,None,,{2},2.0,Artifact,,,
Basalt Monolith,None,,{3},3.0,Artifact,,,
Black Lotus,None,,{0},0.0,Artifact,,,
Black Vise,None,,{1},1.0,Artifact,,,
Celestial Prism,None,,{3},3.0,Artifact,,,
Chaos Orb,None,,{2},2.0,Artifact,,,
Clockwork Beast,None,,{6},6.0,Artifact Creature — Beast,,0,4
Conservator,None,,{4},4.0,Artifact,,,
Copper Tablet,None,,{2},2.0,Artifact,,,
Crystal Rod,None,,{1},1.0,Artifact,,,
Cyclopean Tomb,None,,{4},4.0,Artifact,,,
Dingus Egg,None,,{4},4.0,Artifact,,,
Disrupting Scepter,None,,{3},3.0,Artifact,,,
Forcefield,None,,{3},3.0,Artifact,,,
Glasses of Urza,None,,{1},1.0,Artifact,,,
Helm of Chatzuk,None,,{1},1.0,Artifact,,,
Illusionary Mask,None,,{2},2.0,Artifact,,,
Iron Star,None,,{1},1.0,Artifact,,,
Ivory Cup,None,,{1},1.0,Artifact,,,
Jade Monolith,None,,{4},4.0,Artifact,,,
Jade Statue,None,,{4},4.0,Artifact,,,
Kormus Bell,None,,{4},4.0,Artifact,,,
Library of Leng,None,,{1},1.0,Artifact,,,
Living Wall,None,,{4},4.0,Artifact Creature — Wall,Defender,0,6
Mana Vault,None,,{1},1.0,Artifact,,,
Meekstone,None,,{1},1.0,Artifact,,,
Nevinyrral's Disk,None,,{4},4.0,Artifact,,,
Obsianus Golem,None,,{6},6.0,Artifact Creature — Golem,,4,6
Sol Ring,None,,{1},1.0,Artifact,,,
Soul Net,None,,{1},1.0,Artifact,,,
Sunglasses of Urza,None,,{3},3.0,Artifact,,,
Throne of Bone,None,,{1},1.0,Artifact,,,
Time Vault,None,,{2},2.0,Artifact,,,
Winter Orb,None,,{2},2.0,Artifact,,,
Wooden Sphere,None,,{1},1.0,Artifact,,,
"Emrakul, the Aeons Torn",None,,{15},15.0,Legendary Creature — Eldrazi,"Annihilator, Flying, Protection",15,15
"Kozilek, Butcher of Truth",None,,{10},10.0,Legendary Creature — Eldrazi,Annihilator,12,12
"Ulamog, the Infinite Gyre",None,,{11},11.0,Legendary Creature — Eldrazi,"Annihilator, Indestructible",10,10
Aether Vial,None,,{1},1.0,Artifact,,,
Bloodforged Battle-Axe,None,,{1},1.0,Artifact — Equipment,Equip,,
Civic Saber,None,,{1},1.0,Artifact — Equipment,Equip,,
Coldsteel Heart,None,,{2},2.0,Snow Artifact,,,
Conqueror's Flail,None,,{2},2.0,Artifact — Equipment,Equip,,
Darksteel Plate,None,,{3},3.0,Artifact — Equipment,"Equip, Indestructible",,
Dragon Arch,None,,{5},5.0,Artifact,,,
Firemind Vessel,None,,{4},4.0,Artifact,,,
Livewire Lash,None,,{2},2.0,Artifact — Equipment,Equip,,
Nim Deathmantle,None,,{2},2.0,Artifact — Equipment,Equip,,
Panharmonicon,None,,{4},4.0,Artifact,,,
Phyrexian Altar,None,,{3},3.0,Artifact,,,
Planar Bridge,None,,{6},6.0,Legendary Artifact,,,
Sensei's Divining Top,None,,{1},1.0,Artifact,,,
Thrumming Stone,None,,{5},5.0,Legendary Artifact,,,
Traveler's Amulet,None,,{1},1.0,Artifact,,,
Vedalken Orrery,None,,{4},4.0,Artifact,,,
Cavern of Souls,None,,,0.0,Land,,,
City of Brass,None,,,0.0,Land,,,
Forbidden Orchard,None,,,0.0,Land,,,
Pillar of the Paruns,None,,,0.0,Land,,,
Cryptic Spires,None,,,0.0,Land,,,
Karn Liberated,None,,{7},7.0,Legendary Planeswalker — Karn,,,
Accomplished Automaton,None,,{7},7.0,Artifact Creature — Construct,Fabricate,5,7
Adaptive Automaton,None,,{3},3.0,Artifact Creature — Construct,,2,2
Basilisk Collar,None,,{1},1.0,Artifact — Equipment,Equip,,
Batterskull,None,,{5},5.0,Artifact — Equipment,"Equip, Living weapon",,
Blightsteel Colossus,None,,{12},12.0,Artifact Creature — Phyrexian Golem,"Indestructible, Infect, Trample",11,11
Cathodion,None,,{3},3.0,Artifact Creature — Construct,,3,3
Chief of the Foundry,None,,{3},3.0,Artifact Creature — Construct,,2,3
Chrome Mox,None,,{0},0.0,Artifact,Imprint,,
Clone Shell,None,,{5},5.0,Artifact Creature — Shapeshifter,Imprint,2,2
Cogwork Assembler,None,,{3},3.0,Artifact Creature — Assembly-Worker,,2,3
Conjurer's Closet,None,,{5},5.0,Artifact,,,
Coretapper,None,,{2},2.0,Artifact Creature — Myr,,1,1
Culling Dais,None,,{2},2.0,Artifact,,,
