name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Underground River,"B, U",,,0.0,Land,,,
Underground Sea,"B, U",,,0.0,Land — Island Swamp,,,
Forbidden Alchemy,"B, U",U,{2}{U},3.0,Instant,Flashback,,
Agony Warp,"B, U","B, U",{U}{B},2.0,Instant,,,
Dragonlord Silumgar,"B, U","B, U",{4}{U}{B},6.0,Legendary Creature — Elder Dragon,"Deathtouch, Flying",3,5
Extract from Darkness,"B, U","B, U",{3}{U}{B},5.0,Sorcery,Mill,,
Glen Elendra Liege,"B, U","B, U",{1}{U/B}{U/B}{U/B},4.0,Creature — Faerie Knight,Flying,2,3
Glimpse the Unthinkable,"B, U","B, U",{U}{B},2.0,Sorcery,Mill,,
Hostage Taker,"B, U","B, U",{2}{U}{B},4.0,Creature — Human Pirate,,2,3
Prized Amalgam,"B, U","B, U",{1}{U}{B},3.0,Creature — Zombie,,3,3
Psychic Symbiont,"B, U","B, U",{4}{U}{B},6.0,Creature — Nightmare Horror,Flying,3,3
Dimir Aqueduct,"B, U",,,0.0,Land,,,
Baleful Strix,"B, U","B, U",{U}{B},2.0,Artifact Creature — Bird,"Deathtouch, Flying",1,1
The Scarab God,"B, U","B, U",{3}{U}{B},5.0,Legendary Creature — God,Scry,5,5
Sphinx Summoner,"B, U","B, U",{3}{U}{B},5.0,Artifact Creature — Sphinx,Flying,3,3
Time Sieve,"B, U","B, U",{U}{B},2.0,Artifact,,,
Sunken Ruins,"B, U",,,0.0,Land,,,
Callidus Assassin,"B, U","B, U",{4}{U}{B},6.0,Creature — Human Shapeshifter Assassin,"Flash, Polymorphine",3,3
Cybernetica Datasmith,"B, U","B, U",{1}{U}{B},3.0,Artifact Creature — Human Artificer,"Field Reprogramming, Protection",0,1
Inquisitor Eisenhorn,"B, U","B, U",{2}{U}{B},4.0,Legendary Creature — Human Inquisitor,Investigate,2,3
Deny Reality,"B, U","B, U",{3}{U}{B},5.0,Sorcery,Cascade,,
Talisman of Dominance,"B, U",,{2},2.0,Artifact,,,
Choked Estuary,"B, U",,,0.0,Land,,,
Darkwater Catacombs,"B, U",,,0.0,Land,,,
Dismal Backwater,"B, U",,,0.0,Land,,,
Sunken Hollow,"B, U",,,0.0,Land — Island Swamp,,,
Salt Marsh,"B, U",,,0.0,Land,,,
Returned Phalanx,"B, U",B,{1}{B},2.0,Creature — Zombie Soldier,Defender,3,3
Notion Thief,"B, U","B, U",{2}{U}{B},4.0,Creature — Human Rogue,Flash,3,1
Shadowmage Infiltrator,"B, U","B, U",{1}{U}{B},3.0,Creature — Human Wizard,Fear,1,3
"Adéwalé, Breaker of Chains","B, U","B, U",{1}{U}{B},3.0,Legendary Creature — Human Assassin Pirate,,4,1
Basim Ibn Ishaq,"B, U","B, U",{U}{B},2.0,Legendary Creature — Human Assassin,,2,2
Lydia Frye,"B, U","B, U",{2}{U/B},3.0,Legendary Creature — Human Assassin,Surveil,3,2
"Ezio, Blade of Vengeance","B, U","B, U",{3}{U}{B},5.0,Legendary Creature — Human Assassin,Deathtouch,5,5
Achilles Davenport,"B, U","B, U",{2}{U}{B},4.0,Legendary Creature — Human Assassin,"Freerunning, Menace",3,3
Auditore Ambush,"B, U","B, U",{2}{U}{B},4.0,Sorcery,,,
Rooftop Bypass,"B, U","B, U",{1}{U}{B},3.0,Enchantment,,,
Submerged Boneyard,"B, U",,,0.0,Land,,,
Tezzeret the Schemer,"B, U","B, U",{2}{U}{B},4.0,Legendary Planeswalker — Tezzeret,,,
Tezzeret's Touch,"B, U","B, U",{1}{U}{B},3.0,Enchantment — Aura,Enchant,,
"Tezzeret, Master of Metal","B, U","B, U",{4}{U}{B},6.0,Legendary Planeswalker — Tezzeret,,,
Tezzeret's Betrayal,"B, U","B, U",{3}{U}{B},5.0,Sorcery,,,
Extract Brain,"B, U","B, U",{X}{U}{B},2.0,Sorcery,,,
Obsessive Stitcher,"B, U","B, U",{1}{U}{B},3.0,Creature — Human Wizard,,0,3
Krydle of Baldur's Gate,"B, U","B, U",{U}{B},2.0,Legendary Creature — Human Elf Rogue,"Mill, Scry",1,3
A-Krydle of Baldur's Gate,"B, U","B, U",{U}{B},2.0,Legendary Creature — Human Elf Rogue,"Mill, Scry",1,3
Rogue Class,"B, U","B, U",{U}{B},2.0,Enchantment — Class,,,
"Xanathar, Guild Kingpin","B, U","B, U",{4}{U}{B},6.0,Legendary Creature — Beholder,,5,6
Shadowstorm Vizier,"B, U","B, U",{U}{B},2.0,Creature — Human Cleric,Flying,1,3
Rags // Riches,"B, U",B,{2}{B}{B},11.0,Sorcery,,,
Fetid Pools,"B, U",,,0.0,Land — Island Swamp,Cycling,,
Consign // Oblivion,"B, U",U,{1}{U},7.0,Instant,,,
Etherium Astrolabe,"B, U",U,{2}{U},3.0,Artifact,Flash,,
Vectis Silencers,"B, U",U,{2}{U},3.0,Artifact Creature — Human Rogue,,1,2
Puppet Conjurer,"B, U",B,{1}{B},2.0,Artifact Creature — Human Wizard,,1,2
Shore Snapper,"B, U",B,{2}{B},3.0,Creature — Beast,,2,2
Thoughtcutter Agent,"B, U","B, U",{U}{B},2.0,Artifact Creature — Human Rogue,,1,1
Tidehollow Strix,"B, U","B, U",{U}{B},2.0,Artifact Creature — Bird,"Deathtouch, Flying",2,1
Phantasmal Fiend,"B, U",B,{3}{B},4.0,Creature — Illusion,,1,5
Lim-Dûl's Vault,"B, U","B, U",{U}{B},2.0,Instant,,,
Architects of Will,"B, U","B, U",{2}{U}{B},4.0,Artifact Creature — Human Wizard,Cycling,3,3
Brainbite,"B, U","B, U",{2}{U}{B},4.0,Sorcery,,,
Etherium Abomination,"B, U","B, U",{3}{U}{B},5.0,Artifact Creature — Horror,Unearth,4,3
Illusory Demon,"B, U","B, U",{1}{U}{B},3.0,Creature — Demon Illusion,Flying,4,3
Jhessian Zombies,"B, U","B, U",{4}{U}{B},6.0,Creature — Zombie,"Cycling, Fear, Islandcycling, Landcycling, Swampcycling",2,4
Kathari Remnant,"B, U","B, U",{2}{U}{B},4.0,Creature — Bird Skeleton,"Cascade, Flying",0,1
Lich Lord of Unx,"B, U","B, U",{1}{U}{B},3.0,Creature — Zombie Wizard,Mill,2,2
Mask of Riddles,"B, U","B, U",{U}{B},2.0,Artifact — Equipment,Equip,,
Mind Funeral,"B, U","B, U",{1}{U}{B},3.0,Sorcery,,,
Mistvein Borderpost,"B, U","B, U",{1}{U}{B},3.0,Artifact,,,
Nemesis of Reason,"B, U","B, U",{3}{U}{B},5.0,Creature — Leviathan Horror,Mill,3,7
Soul Manipulation,"B, U","B, U",{1}{U}{B},3.0,Instant,,,
Soulquake,"B, U","B, U",{3}{U}{U}{B}{B},7.0,Sorcery,,,
Vedalken Ghoul,"B, U","B, U",{U}{B},2.0,Creature — Vedalken Zombie,,1,1
Dimir Signet,"B, U",,{2},2.0,Artifact,,,
Vampire Charmseeker,"B, U","B, U",{6}{U}{B},8.0,Creature — Vampire Wizard,"Assist, Flying",3,4
Morphic Pool,"B, U",,,0.0,Land,,,
Dinrova Horror,"B, U","B, U",{4}{U}{B},6.0,Creature — Horror,,4,4
Evil Twin,"B, U","B, U",{2}{U}{B},4.0,Creature — Shapeshifter,,0,0
Urborg Drake,"B, U","B, U",{1}{U}{B},3.0,Creature — Drake,Flying,2,3
Nebuchadnezzar,"B, U","B, U",{3}{U}{B},5.0,Legendary Creature — Human Wizard,,3,3
Sivitri Scarzam,"B, U","B, U",{5}{U}{B},7.0,Legendary Creature — Human,,6,4
Fathom Feeder,"B, U",,{U}{B},2.0,Creature — Eldrazi Drone,"Deathtouch, Devoid, Ingest",1,1
Sire of Stagnation,"B, U",,{4}{U}{B},6.0,Creature — Eldrazi,Devoid,5,7
Ulamog's Nullifier,"B, U",,{2}{U}{B},4.0,Creature — Eldrazi Processor,"Devoid, Flash, Flying",2,3
Mind Drill Assailant,"B, U","B, U",{2}{U/B}{U/B},4.0,Creature — Rat Warlock,"Surveil, Threshold",2,5
Tidecaller Mentor,"B, U","B, U",{1}{U}{B},3.0,Creature — Rat Wizard,"Menace, Threshold",3,3
"Vren, the Relentless","B, U","B, U",{2}{U}{B},4.0,Legendary Creature — Rat Rogue,Ward,3,4
"Phenax, God of Deception","B, U","B, U",{3}{U}{B},5.0,Legendary Enchantment Creature — God,"Indestructible, Mill",4,7
Siren of the Silent Song,"B, U","B, U",{1}{U}{B},3.0,Creature — Zombie Siren,"Flying, Inspired, Mill",2,1
"Cyclonus, the Saboteur // Cyclonus, Cybertronian Fighter","B, U","B, U",{2}{U}{B},4.0,Legendary Artifact Creature — Robot,"Connive, Convert, Flying, More Than Meets the Eye",2,5
"Silas Renn, Seeker Adept","B, U","B, U",{1}{U}{B},3.0,Legendary Artifact Creature — Human,"Deathtouch, Partner",2,2
Mistvault Bridge,"B, U",,,0.0,Artifact Land,Indestructible,,
River of Tears,"B, U",,,0.0,Land,,,
Temple of Deceit,"B, U",,,0.0,Land,Scry,,
Evangel of Synthesis,"B, U","B, U",{U}{B},2.0,Creature — Phyrexian Human Cleric,,2,3
Diabolic Vision,"B, U","B, U",{U}{B},2.0,Sorcery,,,
Spinal Embrace,"B, U","B, U",{3}{U}{U}{B},6.0,Instant,,,
Dimir Guildgate,"B, U",,,0.0,Land — Gate,,,
Jwar Isle Refuge,"B, U",,,0.0,Land,,,
Ancient Excavation,"B, U","B, U",{2}{U}{B},4.0,Instant,"Basic landcycling, Cycling, Landcycling",,
Consuming Aberration,"B, U","B, U",{3}{U}{B},5.0,Creature — Horror,,*,*
Whispering Madness,"B, U","B, U",{2}{U}{B},4.0,Sorcery,Cipher,,
Dreadship Reef,"B, U",,,0.0,Land,,,
"Taigam, Sidisi's Hand","B, U","B, U",{3}{U}{B},5.0,Legendary Creature — Human Wizard,,3,4
Havengul Lich,"B, U","B, U",{3}{U}{B},5.0,Creature — Zombie Wizard,,4,4
Memory Plunder,"B, U","B, U",{U/B}{U/B}{U/B}{U/B},4.0,Instant,,,
"Silumgar, the Drifting Death","B, U","B, U",{4}{U}{B},6.0,Legendary Creature — Dragon,"Flying, Hexproof",3,7
Silumgar's Command,"B, U","B, U",{3}{U}{B},5.0,Instant,,,
Vela the Night-Clad,"B, U","B, U",{4}{U}{B},6.0,Legendary Creature — Human Wizard,Intimidate,4,4
"Yuriko, the Tiger's Shadow","B, U","B, U",{1}{U}{B},3.0,Legendary Creature — Human Ninja,Commander ninjutsu,1,3
Duskmantle Seer,"B, U","B, U",{2}{U}{B},4.0,Creature — Vampire Wizard,Flying,4,4
Silent-Blade Oni,"B, U","B, U",{3}{U}{U}{B}{B},7.0,Creature — Demon Ninja,Ninjutsu,6,5
"Ukkima, Stalking Shadow","B, U","B, U",{1}{U}{B},3.0,Legendary Creature — Whale Wolf,"Partner, Partner with",2,2
"Wydwen, the Biting Gale","B, U","B, U",{2}{U}{B},4.0,Legendary Creature — Faerie Wizard,"Flash, Flying",3,3
Waterveil Cavern,"B, U",,,0.0,Land,,,
"Jon Irenicus, Shattered One","B, U","B, U",{2}{U}{B},4.0,Legendary Creature — Elf Wizard,Goad,3,3
"Rilsa Rael, Kingpin","B, U","B, U",{3}{U}{B},5.0,Legendary Creature — Human Rogue,Deathtouch,2,5
"Tasha, the Witch Queen","B, U","B, U",{3}{U}{B},5.0,Legendary Planeswalker — Tasha,,,
Captain N'ghathrod,"B, U","B, U",{3}{U}{B},5.0,Legendary Creature — Horror Pirate,Mill,3,6
Drown in the Loch,"B, U","B, U",{U}{B},2.0,Instant,,,
Dimir Keyrune,"B, U",,{3},3.0,Artifact,,,
Creeping Tar Pit,"B, U",,,0.0,Land,,,
Nephalia Drownyard,"B, U",,,0.0,Land,Mill,,
Port of Karfell,"B, U",,,0.0,Land,Mill,,
Tainted Isle,"B, U",,,0.0,Land,,,
Secret Passage,"B, U",,,0.0,Land,Investigate,,
Dimir Strandcatcher,"B, U","B, U",{2}{U/B}{U/B},4.0,Creature — Faerie Rogue,"Flying, Surveil",3,3
Memory Vampire,"B, U","B, U",{4}{U}{B},6.0,Creature — Vampire Detective,"Collect evidence, Flying, Mill",4,4
Undercover Butler,"B, U","B, U",{2}{U/B},3.0,Creature — Human Rogue,,2,3
Ribbons of Night,"B, U",B,{4}{B},5.0,Sorcery,,,
