name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Llanowar Wastes,"B, G",,,0.0,Land,,,
Bayou,"B, G",,,0.0,Land — Swamp Forest,,,
Spider Spawning,"B, G",G,{4}{G},5.0,Sorcery,Flashback,,
Assassin's Trophy,"B, G","B, G",{B}{G},2.0,Instant,,,
Creakwood Liege,"B, G","B, G",{1}{B/G}{B/G}{B/G},4.0,Creature — Horror,,2,2
Dreg Mangler,"B, G","B, G",{1}{B}{G},3.0,Creature — Plant Zombie,"Haste, Scavenge",3,3
Glowspore Shaman,"B, G","B, G",{B}{G},2.0,Creature — Elf Shaman,Mill,3,1
Grim Flayer,"B, G","B, G",{B}{G},2.0,Creature — Human Warrior,"Delirium, Surveil, Trample",2,2
Lord of Extinction,"B, G","B, G",{3}{B}{G},5.0,Creature — Elemental,,*,*
Lotleth Troll,"B, G","B, G",{B}{G},2.0,Creature — Zombie Troll,Trample,2,1
"Skullbriar, the Walking Grave","B, G","B, G",{B}{G},2.0,Legendary Creature — Zombie Elemental,Haste,1,1
Golgari Rot Farm,"B, G",,,0.0,Land,,,
Deathreap Ritual,"B, G","B, G",{2}{B}{G},4.0,Enchantment,Morbid,,
Maelstrom Pulse,"B, G","B, G",{1}{B}{G},3.0,Sorcery,,,
"Mazirek, Kraul Death Priest","B, G","B, G",{3}{B}{G},5.0,Legendary Creature — Insect Shaman,Flying,2,2
Twilight Mire,"B, G",,,0.0,Land,,,
Baloth Null,"B, G","B, G",{4}{B}{G},6.0,Creature — Zombie Beast,,4,5
Pernicious Deed,"B, G","B, G",{1}{B}{G},3.0,Enchantment,,,
Aveline de Grandpré,"B, G",G,{2}{G}{G},4.0,Legendary Creature — Human Assassin,"Deathtouch, Disguise",3,3
"Cleopatra, Exiled Pharaoh","B, G","B, G",{2}{B}{G},4.0,Legendary Creature — Human Noble,"Allies, Betrayal",2,4
Nurturing Peatland,"B, G",,,0.0,Land,,,
Winding Constrictor,"B, G","B, G",{B}{G},2.0,Creature — Snake,,2,3
"Shessra, Death's Whisper","B, G","B, G",{2}{B}{G},4.0,Legendary Creature — Human Elf Warlock,,1,3
"A-Shessra, Death's Whisper","B, G","B, G",{1}{B}{G},3.0,Legendary Creature — Human Elf Warlock,,1,4
Skeletal Swarming,"B, G","B, G",{3}{B}{G},5.0,Enchantment,,,
Decimator Beetle,"B, G","B, G",{3}{B}{G},5.0,Creature — Insect,,4,5
"Hapatra, Vizier of Poisons","B, G","B, G",{B}{G},2.0,Legendary Creature — Human Cleric,,2,2
Destined // Lead,"B, G",B,{1}{B},6.0,Instant,,,
Foul Orchard,"B, G",,,0.0,Land,,,
Driven // Despair,"B, G",G,{1}{G},4.0,Sorcery,,,
Obelisk Spider,"B, G","B, G",{1}{B}{G},3.0,Creature — Spider,Reach,1,4
