name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Abundance,G,G,{2}{G}{G},4.0,Enchantment,,,
Aggressive Urge,G,G,{1}{G},2.0,Instant,,,
Avatar of Might,G,G,{6}{G}{G},8.0,Creature — Avatar,Trample,8,8
Birds of Paradise,G,G,{G},1.0,Creature — Bird,Flying,0,1
Blanchwood Armor,G,G,{2}{G},3.0,Enchantment — Aura,Enchant,,
Canopy Spider,G,G,{1}{G},2.0,Creature — Spider,Reach,1,3
Civic Wayfinder,G,G,{2}{G},3.0,Creature — Elf Druid Warrior,,2,2
Commune with Nature,G,G,{G},1.0,Sorcery,,,
Craw Wurm,G,G,{4}{G}{G},6.0,Creature — Wurm,,6,4
Creeping Mold,G,G,{2}{G}{G},4.0,Sorcery,,,
Elven Riders,G,G,{3}{G}{G},5.0,Creature — Elf,,3,3
Elvish Berserker,G,G,{G},1.0,Creature — Elf Berserker,,1,1
Elvish Champion,G,G,{1}{G}{G},3.0,Creature — Elf,,2,2
Elvish Piper,G,G,{3}{G},4.0,Creature — Elf Shaman,,1,1
Enormous Baloth,G,G,{6}{G},7.0,Creature — Beast,,7,7
Femeref Archers,G,G,{2}{G},3.0,Creature — Human Archer,,2,2
Gaea's Herald,G,G,{1}{G},2.0,Creature — Elf,,1,1
Giant Growth,G,G,{G},1.0,Instant,,,
Giant Spider,G,G,{3}{G},4.0,Creature — Spider,Reach,2,4
Grizzly Bears,G,G,{1}{G},2.0,Creature — Bear,,2,2
Hunted Wumpus,G,G,{3}{G},4.0,Creature — Beast,,6,6
Hurricane,G,G,{X}{G},1.0,Sorcery,,,
Joiner Adept,G,G,{1}{G},2.0,Creature — Elf Druid,,2,1
Karplusan Strider,G,G,{3}{G},4.0,Creature — Yeti,,3,4
Kavu Climber,G,G,{3}{G}{G},5.0,Creature — Kavu,,3,3
Llanowar Elves,G,G,{G},1.0,Creature — Elf Druid,,1,1
Llanowar Sentinel,G,G,{2}{G},3.0,Creature — Elf,,2,3
Lure,G,G,{1}{G}{G},3.0,Enchantment — Aura,Enchant,,
Might of Oaks,G,G,{3}{G},4.0,Instant,,,
Might Weaver,G,G,{1}{G},2.0,Creature — Human Wizard,,2,1
"Mirri, Cat Warrior",G,G,{1}{G}{G},3.0,Legendary Creature — Cat Warrior,"First strike, Forestwalk, Vigilance",2,3
"Molimo, Maro-Sorcerer",G,G,{4}{G}{G}{G},7.0,Legendary Creature — Elemental,Trample,*,*
Natural Spring,G,G,{3}{G}{G},5.0,Sorcery,,,
Naturalize,G,G,{1}{G},2.0,Instant,,,
Overgrowth,G,G,{2}{G},3.0,Enchantment — Aura,Enchant,,
Overrun,G,G,{2}{G}{G}{G},5.0,Sorcery,,,
Pincher Beetles,G,G,{2}{G},3.0,Creature — Insect,Shroud,3,1
Primal Rage,G,G,{1}{G},2.0,Enchantment,,,
Quirion Dryad,G,G,{1}{G},2.0,Creature — Dryad,,1,1
Rampant Growth,G,G,{1}{G},2.0,Sorcery,,,
Recollect,G,G,{2}{G},3.0,Sorcery,,,
Regeneration,G,G,{1}{G},2.0,Enchantment — Aura,Enchant,,
Rhox,G,G,{4}{G}{G},6.0,Creature — Rhino Beast,,5,5
Root Maze,G,G,{G},1.0,Enchantment,,,
Rootwalla,G,G,{2}{G},3.0,Creature — Lizard,,2,2
Rushwood Dryad,G,G,{1}{G},2.0,Creature — Dryad,Forestwalk,2,1
Scion of the Wild,G,G,{1}{G}{G},3.0,Creature — Avatar,,*,*
Seedborn Muse,G,G,{3}{G}{G},5.0,Creature — Spirit,,2,4
Skyshroud Ranger,G,G,{G},1.0,Creature — Elf Ranger,,1,1
Spined Wurm,G,G,{4}{G},5.0,Creature — Wurm,,5,4
Stalking Tiger,G,G,{3}{G},4.0,Creature — Cat,,3,3
Stampeding Wildebeests,G,G,{2}{G}{G},4.0,Creature — Antelope Beast,Trample,5,4
Sylvan Basilisk,G,G,{3}{G}{G},5.0,Creature — Basilisk,,2,4
Sylvan Scrying,G,G,{1}{G},2.0,Sorcery,,,
Tangle Spider,G,G,{4}{G}{G},6.0,Creature — Spider,"Flash, Reach",3,4
Treetop Bracers,G,G,{1}{G},2.0,Enchantment — Aura,Enchant,,
Troll Ascetic,G,G,{1}{G}{G},3.0,Creature — Troll Shaman,Hexproof,3,2
Upwelling,G,G,{3}{G},4.0,Enchantment,,,
Verdant Force,G,G,{5}{G}{G}{G},8.0,Creature — Elemental,,7,7
Viridian Shaman,G,G,{2}{G},3.0,Creature — Elf Shaman,,2,2
Wall of Wood,G,G,{G},1.0,Creature — Wall,Defender,0,3
Yavimaya Enchantress,G,G,{2}{G},3.0,Creature — Human Druid,,2,2
Treetop Village,G,,,0.0,Land,,,
Forest,G,,,0.0,Basic Land — Forest,,,
Aspect of Wolf,G,G,{1}{G},2.0,Enchantment — Aura,Enchant,,
Berserk,G,G,{G},1.0,Instant,,,
Camouflage,G,G,{G},1.0,Instant,,,
Channel,G,G,{G}{G},2.0,Sorcery,,,
Cockatrice,G,G,{3}{G}{G},5.0,Creature — Cockatrice,Flying,2,4
Elvish Archers,G,G,{1}{G},2.0,Creature — Elf Archer,First strike,2,1
Fastbond,G,G,{G},1.0,Enchantment,,,
Fog,G,G,{G},1.0,Instant,,,
Force of Nature,G,G,{2}{G}{G}{G}{G},6.0,Creature — Elemental,Trample,8,8
Fungusaur,G,G,{3}{G},4.0,Creature — Fungus Dinosaur,,2,2
Gaea's Liege,G,G,{3}{G}{G}{G},6.0,Creature — Avatar,,*,*
Ice Storm,G,G,{2}{G},3.0,Sorcery,,,
Instill Energy,G,G,{G},1.0,Enchantment — Aura,Enchant,,
Ironroot Treefolk,G,G,{4}{G},5.0,Creature — Treefolk,,3,5
Kudzu,G,G,{1}{G}{G},3.0,Enchantment — Aura,Enchant,,
Ley Druid,G,G,{2}{G},3.0,Creature — Human Druid,,1,1
Lifeforce,G,G,{G}{G},2.0,Enchantment,,,
Lifelace,G,G,{G},1.0,Instant,,,
Living Artifact,G,G,{G},1.0,Enchantment — Aura,Enchant,,
Living Lands,G,G,{3}{G},4.0,Enchantment,,,
Natural Selection,G,G,{G},1.0,Instant,,,
Regrowth,G,G,{1}{G},2.0,Sorcery,,,
Scryb Sprites,G,G,{G},1.0,Creature — Faerie,Flying,1,1
Shanodin Dryads,G,G,{G},1.0,Creature — Nymph Dryad,Forestwalk,1,1
Stream of Life,G,G,{X}{G},1.0,Sorcery,,,
Thicket Basilisk,G,G,{3}{G}{G},5.0,Creature — Basilisk,,2,4
Timber Wolves,G,G,{G},1.0,Creature — Wolf,Banding,1,1
Tranquility,G,G,{2}{G},3.0,Sorcery,,,
Tsunami,G,G,{3}{G},4.0,Sorcery,,,
Verduran Enchantress,G,G,{1}{G}{G},3.0,Creature — Human Druid,,0,2
Wall of Brambles,G,G,{2}{G},3.0,Creature — Plant Wall,Defender,2,3
Wall of Ice,G,G,{2}{G},3.0,Creature — Wall,Defender,0,7
Wanderlust,G,G,{2}{G},3.0,Enchantment — Aura,Enchant,,
War Mammoth,G,G,{3}{G},4.0,Creature — Elephant,Trample,3,3
Web,G,G,{G},1.0,Enchantment — Aura,Enchant,,
Wild Growth,G,G,{G},1.0,Enchantment — Aura,Enchant,,
Mox Emerald,G,,{0},0.0,Artifact,,,
Allosaurus Shepherd,G,G,{G},1.0,Creature — Elf Shaman,,1,1
Ambuscade,G,G,{2}{G},3.0,Instant,,,
Annoyed Altisaur,G,G,{5}{G}{G},7.0,Creature — Dinosaur,"Cascade, Reach, Trample",6,5
Arachnus Spinner,G,G,{5}{G},6.0,Creature — Spider,Reach,5,7
Arachnus Web,G,G,{2}{G},3.0,Enchantment — Aura,Enchant,,
Biogenic Upgrade,G,G,{4}{G}{G},6.0,Sorcery,,,
Bloom Tender,G,G,{1}{G},2.0,Creature — Elf Druid,,1,1
Brindle Shoat,G,G,{1}{G},2.0,Creature — Boar,,1,1
Centaur Battlemaster,G,G,{3}{G}{G},5.0,Creature — Centaur Warrior,Heroic,3,3
Concordant Crossroads,G,G,{G},1.0,World Enchantment,,,
Deadly Recluse,G,G,{1}{G},2.0,Creature — Spider,"Deathtouch, Reach",1,2
Devoted Druid,G,G,{1}{G},2.0,Creature — Elf Druid,,0,2
Elvish Rejuvenator,G,G,{2}{G},3.0,Creature — Elf Druid,,1,1
Eternal Witness,G,G,{1}{G}{G},3.0,Creature — Human Shaman,,2,1
Experiment One,G,G,{G},1.0,Creature — Human Ooze,Evolve,1,1
Food Chain,G,G,{2}{G},3.0,Enchantment,,,
Gnarlback Rhino,G,G,{2}{G}{G},4.0,Creature — Rhino,Trample,4,4
Grapple with the Past,G,G,{1}{G},2.0,Instant,Mill,,
Green Sun's Zenith,G,G,{X}{G},1.0,Sorcery,,,
Hardened Scales,G,G,{G},1.0,Enchantment,,,
Impervious Greatwurm,G,G,{7}{G}{G}{G},10.0,Creature — Wurm,"Convoke, Indestructible",16,16
Might of Old Krosa,G,G,{G},1.0,Instant,,,
Oracle of Mul Daya,G,G,{3}{G},4.0,Creature — Elf Shaman,,2,2
Rancor,G,G,{G},1.0,Enchantment — Aura,Enchant,,
"Rishkar, Peema Renegade",G,G,{2}{G},3.0,Legendary Creature — Elf Druid,,2,2
Splinterfright,G,G,{2}{G},3.0,Creature — Elemental,"Mill, Trample",*,*
Summer Bloom,G,G,{1}{G},2.0,Sorcery,,,
Thrive,G,G,{X}{G},1.0,Sorcery,,,
Tuskguard Captain,G,G,{2}{G},3.0,Creature — Human Warrior,Outlast,2,3
Webweaver Changeling,G,G,{3}{G}{G},5.0,Creature — Shapeshifter,"Changeling, Reach",3,5
Ancient Stirrings,G,G,{G},1.0,Sorcery,,,
