name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
"Marchesa, the Black Rose","B, R, U","B, R, U",{1}{U}{B}{R},4.0,Legendary Creature — Human Wizard,Dethrone,3,3
"Nicol Bolas, God-Pharaoh","B, R, U","B, R, U",{4}{U}{B}{R},7.0,Legendary Planeswalker — Bolas,,,
Phyrexian Tyranny,"B, R, U","B, R, U",{U}{B}{R},3.0,Enchantment,,,
Sedraxis Specter,"B, R, U","B, R, U",{U}{B}{R},3.0,Creature — Specter,"Flying, Unearth",3,2
"Sedris, the Traitor King","B, R, U","B, R, U",{3}{U}{B}{R},6.0,Legendary Creature — Zombie Warrior,,5,5
Thraximundar,"B, R, U","B, R, U",{4}{U}{B}{R},7.0,Legendary Creature — Zombie Assassin,Haste,6,6
Abaddon the Despoiler,"B, R, U","B, R, U",{2}{U}{B}{R},5.0,Legendary Creature — Astartes Warrior,"Mark of Chaos Ascendant, Trample",5,5
"Be'lakor, the Dark Master","B, R, U","B, R, U",{3}{U}{B}{R},6.0,Legendary Creature — Demon Noble,"Flying, Lord of Torment, Prince of Chaos",6,5
The Horus Heresy,"B, R, U","B, R, U",{3}{U}{B}{R},6.0,Enchantment — Saga,,,
Crumbling Necropolis,"B, R, U",,,0.0,Land,,,
Nicol Bolas,"B, R, U","B, R, U",{2}{U}{U}{B}{B}{R}{R},8.0,Legendary Creature — Elder Dragon,Flying,7,7
Edward Kenway,"B, R, U","B, R, U",{2}{U}{B}{R},5.0,Legendary Creature — Human Assassin Pirate,Treasure,5,5
Dark Intimations,"B, R, U","B, R, U",{2}{U}{B}{R},5.0,Sorcery,,,
Crypt of the Eternals,"B, R, U",,,0.0,Land,,,
Grixis Battlemage,"B, R, U",B,{2}{B},3.0,Creature — Human Wizard,,2,2
Resounding Scream,"B, R, U",B,{2}{B},3.0,Sorcery,Cycling,,
Cruel Ultimatum,"B, R, U","B, R, U",{U}{U}{B}{B}{B}{R}{R},7.0,Sorcery,,,
Fire-Field Ogre,"B, R, U","B, R, U",{1}{U}{B}{R},4.0,Creature — Ogre Mutant,"First strike, Unearth",4,2
Grixis Charm,"B, R, U","B, R, U",{U}{B}{R},3.0,Instant,,,
