name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Karplusan Forest,"G, R",,,0.0,Land,,,
Taiga,"G, R",,,0.0,Land — Mountain Forest,,,
Atarka's Command,"G, R","G, R",{R}{G},2.0,Instant,,,
Bloodbraid Elf,"G, R","G, R",{2}{R}{G},4.0,Creature — Elf Berserker,"Cascade, Haste",3,2
Boartusk Liege,"G, R","G, R",{1}{R/G}{R/G}{R/G},4.0,Creature — Goblin Knight,Trample,3,4
Burning-Tree Emissary,"G, R","G, R",{R/G}{R/G},2.0,Creature — Human Shaman,,2,2
Ground Assault,"G, R","G, R",{R}{G},2.0,Sorcery,,,
"Ruric Thar, the Unbowed","G, R","G, R",{4}{R}{G},6.0,Legendary Creature — Ogre Warrior,"Reach, Vigilance",6,6
Scab-Clan Giant,"G, R","G, R",{4}{R}{G},6.0,Creature — Giant Warrior,Fight,4,5
"Ulasht, the Hate Seed","G, R","G, R",{2}{R}{G},4.0,Legendary Creature — Hellion Hydra,,0,0
Wrenn and Six,"G, R","G, R",{R}{G},2.0,Legendary Planeswalker — Wrenn,,,
Gruul Turf,"G, R",,,0.0,Land,,,
Ghor-Clan Rampager,"G, R","G, R",{2}{R}{G},4.0,Creature — Beast,"Bloodrush, Trample",4,4
Manamorphose,"G, R","G, R",{1}{R/G},2.0,Instant,,,
Savageborn Hydra,"G, R","G, R",{X}{R}{G},2.0,Creature — Hydra,Double strike,0,0
Vexing Shusher,"G, R","G, R",{R/G}{R/G},2.0,Creature — Goblin Shaman,,2,2
Fire-Lit Thicket,"G, R",,,0.0,Land,,,
Atalan Jackal,"G, R","G, R",{1}{R}{G},3.0,Creature — Human Tyranid Scout,"Haste, Skilled Outrider, Trample",2,2
"Deathleaper, Terror Weapon","G, R","G, R",{2}{R}{G},4.0,Legendary Creature — Tyranid,"Flash, Flesh Hooks, Haste",3,3
Mawloc,"G, R","G, R",{X}{R}{G},2.0,Creature — Tyranid,"Fight, Ravenous, Terror from the Deep",2,2
Shadow in the Warp,"G, R","G, R",{1}{R}{G},3.0,Enchantment,,,
Hull Breach,"G, R","G, R",{R}{G},2.0,Sorcery,,,
Cinder Glade,"G, R",,,0.0,Land — Mountain Forest,,,
Game Trail,"G, R",,,0.0,Land,,,
Rugged Highlands,"G, R",,,0.0,Land,,,
Temple of Abandon,"G, R",,,0.0,Land,Scry,,
Shivan Oasis,"G, R",,,0.0,Land,,,
Stangg,"G, R","G, R",{4}{R}{G},6.0,Legendary Creature — Human Warrior,,3,4
Outland Boar,"G, R","G, R",{2}{R}{G},4.0,Creature — Boar,,4,4
"Vrondiss, Rage of Ancients","G, R","G, R",{3}{R}{G},5.0,Legendary Creature — Dragon Barbarian,Enrage,5,4
Dragonborn Champion,"G, R","G, R",{2}{R}{G},4.0,Creature — Dragon Warrior,Trample,5,3
"Klauth, Unrivaled Ancient","G, R","G, R",{5}{R}{G},7.0,Legendary Creature — Dragon,"Flying, Haste",4,4
Klauth's Will,"G, R","G, R",{X}{R}{R}{G},3.0,Instant,,,
Wulfgar of Icewind Dale,"G, R","G, R",{3}{R}{G},5.0,Legendary Creature — Human Barbarian,Melee,4,4
"Atarka, World Render","G, R","G, R",{5}{R}{G},7.0,Legendary Creature — Dragon,"Flying, Trample",6,4
Savage Ventmaw,"G, R","G, R",{4}{R}{G},6.0,Creature — Dragon,Flying,4,4
Gruul Signet,"G, R",,{2},2.0,Artifact,,,
Mossfire Valley,"G, R",,,0.0,Land,,,
Bard Class,"G, R","G, R",{R}{G},2.0,Enchantment — Class,,,
"Targ Nar, Demon-Fang Gnoll","G, R","G, R",{R}{G},2.0,Legendary Creature — Gnoll,Pack tactics,2,2
Khenra Charioteer,"G, R","G, R",{1}{R}{G},3.0,Creature — Jackal Warrior,Trample,3,3
Heaven // Earth,"G, R",G,{X}{G},3.0,Instant,,,
Sheltered Thicket,"G, R",,,0.0,Land — Mountain Forest,Cycling,,
Timber Gorge,"G, R",,,0.0,Land,,,
"Samut, the Tested","G, R","G, R",{2}{R}{G},4.0,Legendary Planeswalker — Samut,,,
Struggle // Survive,"G, R",R,{2}{R},5.0,Instant,,,
Thorn-Thrash Viashino,"G, R",R,{3}{R},4.0,Creature — Lizard Warrior,Devour,2,2
Cavern Thoctar,"G, R",G,{5}{G},6.0,Creature — Beast,,5,5
Branching Bolt,"G, R","G, R",{1}{R}{G},3.0,Instant,,,
Rip-Clan Crasher,"G, R","G, R",{R}{G},2.0,Creature — Human Warrior,Haste,2,2
Sangrite Surge,"G, R","G, R",{4}{R}{G},6.0,Sorcery,,,
Sarkhan Vol,"G, R","G, R",{2}{R}{G},4.0,Legendary Planeswalker — Sarkhan,,,
Primitive Justice,"G, R",R,{1}{R},2.0,Sorcery,,,
Undergrowth,"G, R",G,{G},1.0,Instant,,,
Surge of Strength,"G, R","G, R",{R}{G},2.0,Instant,,,
Blitz Hellion,"G, R","G, R",{3}{R}{G},5.0,Creature — Hellion,"Haste, Trample",7,7
Colossal Might,"G, R","G, R",{R}{G},2.0,Instant,,,
Deadshot Minotaur,"G, R","G, R",{3}{R}{G},5.0,Creature — Minotaur,Cycling,3,4
Dragon Broodmother,"G, R","G, R",{2}{R}{R}{R}{G},6.0,Creature — Dragon,Flying,4,4
Firewild Borderpost,"G, R","G, R",{1}{R}{G},3.0,Artifact,,,
Godtracker of Jund,"G, R","G, R",{1}{R}{G},3.0,Creature — Elf Shaman,,2,2
Gorger Wurm,"G, R","G, R",{3}{R}{G},5.0,Creature — Wurm,Devour,5,5
Mage Slayer,"G, R","G, R",{1}{R}{G},3.0,Artifact — Equipment,Equip,,
Predatory Advantage,"G, R","G, R",{3}{R}{G},5.0,Enchantment,,,
Rhox Brute,"G, R","G, R",{2}{R}{G},4.0,Creature — Rhino Warrior,,4,4
Spellbreaker Behemoth,"G, R","G, R",{1}{R}{G}{G},4.0,Creature — Beast,,5,5
Valley Rannet,"G, R","G, R",{4}{R}{G},6.0,Creature — Beast,"Cycling, Forestcycling, Mountaincycling",6,3
Vengeful Rebirth,"G, R","G, R",{4}{R}{G},6.0,Sorcery,,,
Violent Outburst,"G, R","G, R",{1}{R}{G},3.0,Instant,Cascade,,
Vithian Renegades,"G, R","G, R",{1}{R}{G},3.0,Creature — Human Shaman,,3,2
Fires of Yavimaya,"G, R","G, R",{1}{R}{G},3.0,Enchantment,,,
Savage Twister,"G, R","G, R",{X}{R}{G},2.0,Sorcery,,,
Kazandu Refuge,"G, R",,,0.0,Land,,,
Spire Garden,"G, R",,,0.0,Land,,,
Apocalypse Hydra,"G, R","G, R",{X}{R}{G},2.0,Creature — Hydra,,0,0
Relentless Hunter,"G, R","G, R",{1}{R}{G},3.0,Creature — Human Warrior,,3,3
Marhault Elsdragon,"G, R","G, R",{3}{R}{R}{G},6.0,Legendary Creature — Elf Warrior,Rampage,4,6
Grove Rumbler,"G, R","G, R",{2}{R}{G},4.0,Creature — Elemental,"Landfall, Trample",3,3
"Omnath, Locus of Rage","G, R","G, R",{3}{R}{R}{G}{G},7.0,Legendary Creature — Elemental,Landfall,5,5
"Hugs, Grisly Guardian","G, R","G, R",{X}{R}{R}{G}{G},4.0,Legendary Creature — Badger Warrior,Trample,5,5
Junkblade Bruiser,"G, R","G, R",{3}{R/G}{R/G},5.0,Creature — Raccoon Berserker,Trample,4,5
"Muerra, Trash Tactician","G, R","G, R",{1}{R}{G},3.0,Legendary Creature — Raccoon Warrior,,2,4
Wandertale Mentor,"G, R","G, R",{R}{G},2.0,Creature — Raccoon Bard,,2,2
"Bello, Bard of the Brambles","G, R","G, R",{1}{R}{G},3.0,Legendary Creature — Raccoon Bard,,3,3
"Wildsear, Scouring Maw","G, R","G, R",{3}{R}{G},5.0,Legendary Creature — Elemental Wolf,Trample,6,6
"Domri, Anarch of Bolas","G, R","G, R",{1}{R}{G},3.0,Legendary Planeswalker — Domri,Fight,,
Decimate,"G, R","G, R",{2}{R}{G},4.0,Sorcery,,,
"Grumgully, the Generous","G, R","G, R",{1}{R}{G},3.0,Legendary Creature — Goblin Shaman,,3,3
Talisman of Impulse,"G, R",,{2},2.0,Artifact,,,
Copperline Gorge,"G, R",,,0.0,Land,,,
Raging Ravine,"G, R",,,0.0,Land,,,
Rootbound Crag,"G, R",,,0.0,Land,,,
Wooded Ridgeline,"G, R",,,0.0,Land — Mountain Forest,,,
Fanatic of Xenagos,"G, R","G, R",{1}{R}{G},3.0,Creature — Centaur Warrior,"Trample, Tribute",3,3
"Xenagos, God of Revels","G, R","G, R",{3}{R}{G},5.0,Legendary Enchantment Creature — God,Indestructible,6,5
"Blaster, Combat DJ // Blaster, Morale Booster","G, R","G, R",{3}{R}{G},5.0,Legendary Artifact Creature — Robot,"Convert, Modular, More Than Meets the Eye",3,3
Mogg Hollows,"G, R",,,0.0,Land,,,
Arbalest Engineers,"G, R","G, R",{1}{R}{G},3.0,Creature — Human Artificer,,2,2
"Hajar, Loyal Bodyguard","G, R","G, R",{R}{G},2.0,Legendary Creature — Human Soldier,,3,3
