name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Shivan Reef,"R, U",,,0.0,Land,,,
Volcanic Island,"R, U",,,0.0,Land — Island Mountain,,,
"Arjun, the Shifting Flame","R, U","R, U",{4}{U}{R},6.0,Legendary Creature — Sphinx Wizard,Flying,5,5
Bloodwater Entity,"R, U","R, U",{1}{U}{R},3.0,Creature — Elemental,"Flying, Prowess",2,2
Dack's Duplicate,"R, U","R, U",{2}{U}{R},4.0,Creature — Shapeshifter,,0,0
Izzet Charm,"R, U","R, U",{U}{R},2.0,Instant,,,
League Guildmage,"R, U","R, U",{U}{R},2.0,Creature — Human Wizard,,2,2
Mindwrack Liege,"R, U","R, U",{3}{U/R}{U/R}{U/R},6.0,Creature — Horror,,4,4
Mizzix of the Izmagnus,"R, U","R, U",{2}{U}{R},4.0,Legendary Creature — Goblin Wizard,,2,2
Prophetic Bolt,"R, U","R, U",{3}{U}{R},5.0,Instant,,,
Thousand-Year Storm,"R, U","R, U",{4}{U}{R},6.0,Enchantment,,,
Izzet Boilerworks,"R, U",,,0.0,Land,,,
"Brudiclad, Telchor Engineer","R, U","R, U",{4}{U}{R},6.0,Legendary Artifact Creature — Phyrexian Artificer,,4,4
"Jhoira, Weatherlight Captain","R, U","R, U",{2}{U}{R},4.0,Legendary Creature — Human Artificer,,3,3
Cascade Bluffs,"R, U",,,0.0,Land,,,
Chaos Mutation,"R, U","R, U",{3}{U}{R},5.0,Instant,,,
Exalted Flamer of Tzeentch,"R, U","R, U",{2}{U}{R},4.0,Creature — Demon,"Fire of Tzeentch, Sorcerous Inspiration",2,4
"Ghyrson Starn, Kelermorph","R, U","R, U",{1}{U}{R},3.0,Legendary Creature — Tyranid Human,"Three Autostubs, Ward",3,2
The Lost and the Damned,"R, U","R, U",{1}{U}{R},3.0,Enchantment,,,
Magnus the Red,"R, U","R, U",{3}{U}{R},5.0,Legendary Creature — Demon Primarch,"Blade of Magnus, Flying, Unearthly Power",4,5
Mutalith Vortex Beast,"R, U","R, U",{4}{U}{R},6.0,Creature — Mutant Beast,"Trample, Warp Vortex",6,6
Pink Horror,"R, U","R, U",{3}{U}{R},5.0,Creature — Demon Horror,Coruscating Flames,4,4
Tzaangor Shaman,"R, U","R, U",{2}{U}{R},4.0,Creature — Mutant Shaman,"Flying, Sorcerous Elixir",3,3
Winged Hive Tyrant,"R, U","R, U",{3}{U}{R},5.0,Creature — Tyranid,"Flying, Haste, The Will of the Hive Mind",4,4
Zoanthrope,"R, U","R, U",{X}{U}{R},2.0,Creature — Tyranid,"Flying, Ravenous, Ward, Warp Blast",0,0
Talisman of Creativity,"R, U",,{2},2.0,Artifact,,,
Swiftwater Cliffs,"R, U",,,0.0,Land,,,
Temple of Epiphany,"R, U",,,0.0,Land,Scry,,
"Niv-Mizzet, the Firemind","R, U","R, U",{2}{U}{U}{R}{R},6.0,Legendary Creature — Dragon Wizard,Flying,4,4
Quicksilver Dagger,"R, U","R, U",{1}{U}{R},3.0,Enchantment — Aura,Enchant,,
Jackdaw,"R, U","R, U",{1}{U}{R},3.0,Legendary Artifact — Vehicle,Crew,4,4
Mary Read and Anne Bonny,"R, U","R, U",{1}{U}{R},3.0,Legendary Creature — Human Assassin Pirate,"Haste, Treasure",3,3
Shao Jun,"R, U","R, U",{1}{U}{R},3.0,Legendary Creature — Human Assassin,"Leap Strike, Rope Dart",3,3
Fiery Islet,"R, U",,,0.0,Land,,,
Maverick Thopterist,"R, U","R, U",{3}{U}{R},5.0,Creature — Human Artificer,Improvise,2,2
"Farideh, Devil's Chosen","R, U","R, U",{2}{U}{R},4.0,Legendary Creature — Tiefling Warlock,,3,3
Sorcerer Class,"R, U","R, U",{U}{R},2.0,Enchantment — Class,,,
A-Sorcerer Class,"R, U","R, U",{U}{R},2.0,Enchantment — Class,,,
Enigma Drake,"R, U","R, U",{1}{U}{R},3.0,Creature — Drake,Flying,*,4
Reduce // Rubble,"R, U",U,{2}{U},6.0,Instant,,,
Highland Lake,"R, U",,,0.0,Land,,,
The Locust God,"R, U","R, U",{4}{U}{R},6.0,Legendary Creature — God,Flying,4,4
Refuse // Cooperate,"R, U",R,{3}{R},7.0,Instant,,,
Swerve,"R, U","R, U",{U}{R},2.0,Instant,,,
Jilt,"R, U",U,{1}{U},2.0,Instant,Kicker,,
Whirlpool Warrior,"R, U",U,{2}{U},3.0,Creature — Merfolk Warrior,,2,2
Illuminate,"R, U",R,{X}{R},1.0,Sorcery,Kicker,,
Minotaur Illusionist,"R, U","R, U",{3}{U}{R},5.0,Creature — Minotaur Wizard,,3,4
Razorfin Hunter,"R, U","R, U",{U}{R},2.0,Creature — Merfolk Goblin,,1,1
Squee's Revenge,"R, U","R, U",{1}{U}{R},3.0,Sorcery,,,
Suffocating Blast,"R, U","R, U",{1}{U}{U}{R},4.0,Instant,,,
Fire // Ice,"R, U",R,{1}{R},4.0,Instant,,,
Cloven Casting,"R, U","R, U",{5}{U}{R},7.0,Enchantment,,,
Double Negative,"R, U","R, U",{U}{U}{R},3.0,Instant,,,
Magefire Wings,"R, U","R, U",{U}{R},2.0,Enchantment — Aura,Enchant,,
Skyclaw Thrash,"R, U","R, U",{3}{U}{R},5.0,Artifact Creature — Lizard Warrior,,4,4
Spellbound Dragon,"R, U","R, U",{3}{U}{R},5.0,Creature — Dragon,Flying,3,5
Desolate Lighthouse,"R, U",,,0.0,Land,,,
Brutal Expulsion,"R, U",,{2}{U}{R},4.0,Instant,Devoid,,
Herald of Kozilek,"R, U",,{1}{U}{R},3.0,Creature — Eldrazi Drone,Devoid,2,4
"Alania, Divergent Storm","R, U","R, U",{3}{U}{R},5.0,Legendary Creature — Otter Wizard,,3,5
"Ral, Crackling Wit","R, U","R, U",{2}{U}{R},4.0,Legendary Planeswalker — Ral,,,
Stormcatch Mentor,"R, U","R, U",{U}{R},2.0,Creature — Otter Wizard,"Haste, Prowess",1,1
Tempest Angler,"R, U","R, U",{1}{U/R}{U/R},3.0,Creature — Otter Wizard,,2,2
"Bria, Riptide Rogue","R, U","R, U",{2}{U}{R},4.0,Legendary Creature — Otter Rogue,Prowess,3,3
Rapid Augmenter,"R, U","R, U",{1}{U}{R},3.0,Creature — Otter Artificer,Haste,1,3
Izzet Signet,"R, U",,{2},2.0,Artifact,,,
Ferrous Lake,"R, U",,,0.0,Land,,,
Sulfur Falls,"R, U",,,0.0,Land,,,
Stormcaller of Keranos,"R, U",R,{2}{R},3.0,Creature — Human Shaman,"Haste, Scry",2,2
Expressive Iteration,"R, U","R, U",{U}{R},2.0,Sorcery,,,
Silverbluff Bridge,"R, U",,,0.0,Artifact Land,Indestructible,,
"Saheeli, Filigree Master","R, U","R, U",{2}{U}{R},4.0,Legendary Planeswalker — Saheeli,Scry,,
"A-Saheeli, Filigree Master","R, U","R, U",{2}{U}{R},4.0,Legendary Planeswalker — Saheeli,Scry,,
