name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Elsha of the Infinite,"R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Djinn Monk,Prowess,3,3
Jeskai Ascendancy,"R, U, W","R, U, W",{U}{R}{W},3.0,Enchantment,,,
Jeskai Charm,"R, U, W","R, U, W",{U}{R}{W},3.0,Instant,,,
Kavu Glider,"R, U, W",R,{2}{R},3.0,Creature — Kavu,,2,1
Raka Disciple,"R, U, W",R,{R},1.0,Creature — Minotaur Wizard,,1,1
Rakavolver,"R, U, W",R,{2}{R},3.0,Creature — Volver,Kicker,2,2
Wild Research,"R, U, W",R,{2}{R},3.0,Enchantment,,,
Lightning Angel,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Creature — Angel,"Flying, Haste, Vigilance",3,4
"Zinnia, Valley's Voice","R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Creature — Bird Bard,Flying,1,3
"Arthur, Marigold Knight","R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Mouse Knight,Haste,4,5
"Kykar, Wind's Fury","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Bird Wizard,Flying,3,3
Mystic Monastery,"R, U, W",,,0.0,Land,,,
"Optimus Prime, Hero // Optimus Prime, Autobot Leader","R, U, W","R, U, W",{3}{U}{R}{W},6.0,Legendary Artifact Creature — Robot,"Bolster, Convert, More Than Meets the Eye",4,8
The Archimandrite,"R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Human Advisor,,0,5
Zedruu the Greathearted,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Minotaur Monk,,2,4
"Pramikon, Sky Rampart","R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Creature — Wall,"Defender, Flying",1,5
"Sevinne, the Chronoclasm","R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Human Wizard,,2,2
"Akim, the Soaring Wind","R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Bird Dinosaur,Flying,3,4
"Gavi, Nest Warden","R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Human Shaman,,2,5
"Dynaheir, Invoker Adept","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Wizard,Haste,4,4
"Numot, the Devastator","R, U, W","R, U, W",{3}{U}{R}{W},6.0,Legendary Creature — Dragon,Flying,6,6
Ruhan of the Fomori,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Giant Warrior,,7,7
Commodore Guff,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Planeswalker — Guff,,,
"Leori, Sparktouched Hunter","R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Creature — Elemental Cat,"Flying, Vigilance",3,3
Narset of the Ancient Way,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Planeswalker — Narset,,,
"Narset, Enlightened Master","R, U, W","R, U, W",{3}{U}{R}{W},6.0,Legendary Creature — Human Monk,"First strike, Hexproof",3,2
"Gnostro, Voice of the Crags","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Chimera,Scry,3,3
"The Magical City, New","R, U, W",,,0.0,Legendary Land,,,
The Fifth Alias,"R, U, W","R, U, W",{2}{U}{R}{W},0.0,Legendary Creature — Shapeshifter,,5,5
Catch // Release,"R, U, W","U, R",{1}{U}{R},9.0,Sorcery,Fuse,,
Odds // Ends,"R, U, W","U, R",{U}{R},7.0,Instant,,,
Temporal Firestorm,"R, U, W",R,{3}{R}{R},5.0,Sorcery,Kicker,,
Soulfire Grand Master,"R, U, W",W,{1}{W},2.0,Creature — Human Monk,Lifelink,2,2
"Shu Yun, the Silent Tempest","R, U, W",U,{2}{U},3.0,Legendary Creature — Human Monk,Prowess,3,2
Mythos of Vadrok,"R, U, W",R,{2}{R}{R},4.0,Sorcery,,,
Inspired Ultimatum,"R, U, W","R, U, W",{U}{U}{R}{R}{R}{W}{W},7.0,Sorcery,,,
"Vadrok, Apex of Thunder","R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Creature — Elemental Dinosaur Cat,"First strike, Flying, Mutate",3,3
Whirlwind of Thought,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Enchantment,,,
Raugrin Crystal,"R, U, W",,{3},3.0,Artifact,Cycling,,
Raugrin Triome,"R, U, W",,,0.0,Land — Island Mountain Plains,Cycling,,
Efreet Weaponmaster,"R, U, W","R, U, W",{3}{U}{R}{W},6.0,Creature — Efreet Monk,"First strike, Morph",4,3
Flying Crane Technique,"R, U, W","R, U, W",{3}{U}{R}{W},6.0,Instant,,,
Mantis Rider,"R, U, W","R, U, W",{U}{R}{W},3.0,Creature — Human Monk,"Flying, Haste, Vigilance",3,3
Sage of the Inward Eye,"R, U, W","R, U, W",{2}{U}{R}{W},5.0,Creature — Djinn Wizard,Flying,3,4
Warden of the Eye,"R, U, W","R, U, W",{2}{U}{R}{W},5.0,Creature — Djinn Wizard,,3,3
Jeskai Banner,"R, U, W",,{3},3.0,Artifact,,,
"Tetzin, Gnome Champion // The Golden-Gear Colossus","R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Artifact Creature — Gnome,"Craft, Mill, Transform",2,2
"Éowyn, Shieldmaiden","R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Human Knight,First strike,5,4
"Aragorn, King of Gondor","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Noble,"Lifelink, Vigilance",4,4
Gandalf of the Secret Fire,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Avatar Wizard,,3,4
"Satya, Aetherflux Genius","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Artificer,"Haste, Menace",3,5
"Cayth, Famed Mechanist","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Dwarf Artificer,"Fabricate, Populate, Proliferate",3,3
"Narset, Enlightened Exile","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Monk,,3,4
Perilous Landscape,"R, U, W",,,0.0,Land,Cycling,,
Fuss // Bother,"R, U, W","W, R",{2}{R/W},9.0,Instant,,,
"Kasla, the Broken Halo","R, U, W","R, U, W",{3}{U}{R}{W},6.0,Legendary Creature — Angel Ally,"Convoke, Flying, Haste, Scry, Vigilance",5,4
Saint Traft and Rem Karolus,"R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Creature — Spirit Human,,3,4
Zurgo and Ojutai,"R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Creature — Orc Dragon,"Flying, Haste",4,4
"Hinata, Dawn-Crowned","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Kirin Spirit,"Flying, Trample",4,4
The Legend of Arena,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Enchantment — Saga,,,
Dr. Madison Li,"R, U, W","R, U, W",{U}{R}{W},3.0,Legendary Creature — Human Scientist,,2,3
"Liberty Prime, Recharged","R, U, W","R, U, W",{2}{U}{R}{W},5.0,Legendary Artifact Creature — Robot,"Haste, Trample, Vigilance",8,8
"Immard, the Stormcleaver","R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Soldier,,4,4
"Captain America, First Avenger","R, U, W","R, U, W",{R}{W}{U},3.0,Legendary Creature — Human Soldier Hero,"... Catch, Throw ...",4,4
The Face of Boe,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Alien Advisor,,0,4
Kate Stewart,"R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Scientist,,3,3
