name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Hellkite Overlord,"B, G, R","B, G, R",{4}{B}{R}{R}{G},8.0,Creature — Dragon,"Flying, Haste, Trample",8,8
Lavalanche,"B, G, R","B, G, R",{X}{B}{R}{G},3.0,Sorcery,,,
Shattergang Brothers,"B, G, R","B, G, R",{1}{B}{R}{G},4.0,Legendary Creature — Goblin Artificer,,3,3
Sprouting Thrinax,"B, G, R","B, G, R",{B}{R}{G},3.0,Creature — Lizard,,3,3
"Wasitora, Nekoru Queen","B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Creature — Cat Dragon,"Flying, Trample",5,4
"Karrthus, Tyrant of Jund","B, G, R","B, G, R",{4}{B}{R}{G},7.0,Legendary Creature — Dragon,"Flying, Haste",7,7
"Prossh, Skyraider of Kher","B, G, R","B, G, R",{3}{B}{R}{G},6.0,Legendary Creature — Dragon,Flying,5,5
Jund Battlemage,"B, G, R",R,{2}{R},3.0,Creature — Human Shaman,,2,2
Resounding Thunder,"B, G, R",R,{2}{R},3.0,Instant,Cycling,,
Broodmate Dragon,"B, G, R","B, G, R",{3}{B}{R}{G},6.0,Creature — Dragon,Flying,4,4
Carrion Thrash,"B, G, R","B, G, R",{2}{B}{R}{G},5.0,Creature — Lizard Warrior,,4,4
Jund Charm,"B, G, R","B, G, R",{B}{R}{G},3.0,Instant,,,
Kresh the Bloodbraided,"B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Creature — Human Warrior,,3,3
Violent Ultimatum,"B, G, R","B, G, R",{B}{B}{R}{R}{R}{G}{G},7.0,Sorcery,,,
Obelisk of Jund,"B, G, R",,{3},3.0,Artifact,,,
Savage Lands,"B, G, R",,,0.0,Land,,,
Misfortune,"B, G, R","B, G, R",{1}{B}{R}{G},4.0,Sorcery,,,
Dragon Appeasement,"B, G, R","B, G, R",{3}{B}{R}{G},6.0,Enchantment,,,
Jund Sojourners,"B, G, R","B, G, R",{B}{R}{G},3.0,Creature — Lizard Shaman,Cycling,3,2
Madrush Cyclops,"B, G, R","B, G, R",{1}{B}{R}{G},4.0,Creature — Cyclops Warrior,,3,4
Giant Ambush Beetle,"B, G, R","B, G, R",{3}{B/G}{R},5.0,Creature — Insect,Haste,4,3
Jund Hackblade,"B, G, R","B, G, R",{B/G}{R},2.0,Creature — Goblin Berserker,,2,1
Sangrite Backlash,"B, G, R","B, G, R",{B/G}{R},2.0,Enchantment — Aura,Enchant,,
Vaevictis Asmadi,"B, G, R","B, G, R",{2}{B}{B}{R}{R}{G}{G},8.0,Legendary Creature — Elder Dragon,Flying,7,7
Xira Arien,"B, G, R","B, G, R",{B}{R}{G},3.0,Legendary Creature — Insect Wizard,Flying,1,2
Charnelhoard Wurm,"B, G, R","B, G, R",{4}{B}{R}{G},7.0,Creature — Wurm,Trample,6,6
Scarland Thrinax,"B, G, R","B, G, R",{B}{R}{G},3.0,Creature — Lizard,,2,2
"Sek'Kuar, Deathkeeper","B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Creature — Orc Shaman,,4,3
"Gyrus, Waker of Corpses","B, G, R","B, G, R",{X}{B}{R}{G},3.0,Legendary Creature — Hydra,,0,0
Lord Windgrace,"B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Planeswalker — Windgrace,,,
"Thantis, the Warweaver","B, G, R","B, G, R",{3}{B}{R}{G},6.0,Legendary Creature — Spider,"Reach, Vigilance",5,5
"Bhaal, Lord of Murder","B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Creature — God,Goad,4,4
Smelt // Herd // Saw,"B, G, R",R,{R},9.0,Instant,,,
Yurlok of Scorch Thrash,"B, G, R","B, G, R",{1}{B}{R}{G},4.0,Legendary Creature — Lizard Shaman,Vigilance,4,4
Viashino Slaughtermaster,"B, G, R",R,{1}{R},2.0,Creature — Lizard Warrior,Double strike,1,1
Orcish Healer,"B, G, R",R,{R}{R},2.0,Creature — Orc Cleric,,1,1
The Duke of Midrange,"B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Creature — Lhurgoyf Wizard,,*,*
Thunderscape Battlemage,"B, G, R",R,{2}{R},3.0,Creature — Human Wizard,Kicker,2,2
"Darigaaz, the Igniter","B, G, R","B, G, R",{3}{B}{R}{G},6.0,Legendary Creature — Dragon,Flying,6,6
Darigaaz's Charm,"B, G, R","B, G, R",{B}{R}{G},3.0,Instant,,,
Flesh // Blood,"B, G, R","B, G",{3}{B}{G},7.0,Sorcery,Fuse,,
Hit // Run,"B, G, R","B, R",{1}{B}{R},8.0,Instant,,,
"Xira, the Golden Sting","B, G, R","B, G, R",{1}{B}{R}{G},4.0,Legendary Creature — Insect Assassin,"Flying, Haste",3,3
Darigaaz's Caldera,"B, G, R",,,0.0,Land — Lair,,,
Soul of Windgrace,"B, G, R","B, G, R",{1}{B}{R}{G},4.0,Legendary Creature — Cat Avatar,,5,4
A-Soul of Windgrace,"B, G, R","B, G, R",{1}{B}{R}{G},4.0,Legendary Creature — Cat Avatar,,5,4
Darigaaz Reincarnated,"B, G, R","B, G, R",{4}{B}{R}{G},7.0,Legendary Creature — Dragon,"Flying, Haste, Trample",7,7
"Winter, Misanthropic Guide","B, G, R","B, G, R",{1}{B}{R}{G},4.0,Legendary Creature — Human Warlock,"Delirium, Ward",3,4
"Korvold, Fae-Cursed King","B, G, R","B, G, R",{2}{B}{R}{G},5.0,Legendary Creature — Dragon Noble,Flying,4,4
Koskun Keep,"B, G, R",,,0.0,Land,,,
Earthlink,"B, G, R","B, G, R",{3}{B}{R}{G},6.0,Enchantment,,,
Thunderscape Apprentice,"B, G, R",R,{R},1.0,Creature — Human Wizard,,1,1
Thunderscape Master,"B, G, R",R,{2}{R}{R},4.0,Creature — Human Wizard,,2,2
Darigaaz's Attendant,"B, G, R",,{5},5.0,Artifact Creature — Golem,,3,3
Geothermal Crevice,"B, G, R",,,0.0,Land,,,
Adun Oakenshield,"B, G, R","B, G, R",{B}{R}{G},3.0,Legendary Creature — Human Knight,,1,2
