name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
"Atla Palani, Nest Tender","G, R, W","G, R, W",{1}{R}{G}{W},4.0,Legendary Creature — Human Shaman,,2,3
Fiery Justice,"G, R, W","G, R, W",{R}{G}{W},3.0,Sorcery,,,
Gloryscale Viashino,"G, R, W","G, R, W",{1}{R}{G}{W},4.0,Creature — Lizard Soldier,,3,3
Mayael's Aria,"G, R, W","G, R, W",{R}{G}{W},3.0,Enchantment,,,
"Uril, the Miststalker","G, R, W","G, R, W",{2}{R}{G}{W},5.0,Legendary Creature — Beast,Hexproof,5,5
"Eivor, Wolf-Kissed","G, R, W","G, R, W",{3}{R}{G}{W},6.0,Legendary Creature — Human Assassin Warrior,"Haste, Mill, Trample",7,6
"Havi, the All-Father","G, R, W","G, R, W",{3}{R}{G}{W},6.0,Legendary Creature — God Warrior,Sage Project,6,6
"Sigurd, Jarl of Ravensthorpe","G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Human Warrior,"Boast, Lifelink, Trample, Vigilance",3,3
"Minsc, Beloved Ranger","G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Human Ranger,,3,3
"Samut, Voice of Dissent","G, R, W","G, R",{3}{R}{G},5.0,Legendary Creature — Human Warrior,"Double strike, Flash, Haste, Vigilance",3,4
Druid of the Anima,"G, R, W",G,{1}{G},2.0,Creature — Elf Druid,,1,1
Naya Battlemage,"G, R, W",G,{2}{G},3.0,Creature — Human Shaman,,2,2
Resounding Roar,"G, R, W",G,{1}{G},2.0,Instant,Cycling,,
Godsire,"G, R, W","G, R, W",{4}{R}{G}{G}{W},8.0,Creature — Beast,Vigilance,8,8
Mayael the Anima,"G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Elf Shaman,,2,3
Naya Charm,"G, R, W","G, R, W",{R}{G}{W},3.0,Instant,,,
Rakeclaw Gargantuan,"G, R, W","G, R, W",{2}{R}{G}{W},5.0,Creature — Beast,,5,3
Realm Razer,"G, R, W","G, R, W",{3}{R}{G}{W},6.0,Creature — Beast,,4,2
Titanic Ultimatum,"G, R, W","G, R, W",{R}{R}{G}{G}{G}{W}{W},7.0,Sorcery,,,
Woolly Thoctar,"G, R, W","G, R, W",{R}{G}{W},3.0,Creature — Beast,,5,4
Obelisk of Naya,"G, R, W",,{3},3.0,Artifact,,,
Jungle Shrine,"G, R, W",,,0.0,Land,,,
Winter's Night,"G, R, W","G, R, W",{R}{G}{W},3.0,World Enchantment,,,
Naya Sojourners,"G, R, W","G, R, W",{2}{R}{G}{W},5.0,Creature — Elf Shaman,Cycling,5,3
Retaliator Griffin,"G, R, W","G, R, W",{1}{R}{G}{W},4.0,Creature — Griffin,Flying,2,2
Marisi's Twinclaws,"G, R, W","G, R, W",{2}{R/W}{G},4.0,Creature — Cat Warrior,Double strike,2,4
Naya Hushblade,"G, R, W","G, R, W",{R/W}{G},2.0,Creature — Elf Rogue,,2,1
Trace of Abundance,"G, R, W","G, R, W",{R/W}{G},2.0,Enchantment — Aura,Enchant,,
Johan,"G, R, W","G, R, W",{3}{R}{G}{W},6.0,Legendary Creature — Human Wizard,,5,4
Palladia-Mors,"G, R, W","G, R, W",{2}{R}{R}{G}{G}{W}{W},8.0,Legendary Creature — Elder Dragon,"Flying, Trample",7,7
"Baylen, the Haymaker","G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Rabbit Warrior,,4,3
"Ultra Magnus, Tactician // Ultra Magnus, Armored Carrier","G, R, W","G, R, W",{4}{R}{G}{W},7.0,Legendary Artifact Creature — Robot,"Convert, More Than Meets the Eye, Ward",7,7
"Gahiji, Honored One","G, R, W","G, R, W",{2}{R}{G}{W},5.0,Legendary Creature — Beast,,4,4
"Marath, Will of the Wild","G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Elemental Beast,,0,0
"Ghired, Conclave Exile","G, R, W","G, R, W",{2}{R}{G}{W},5.0,Legendary Creature — Human Shaman,Populate,2,5
"Marisi, Breaker of the Coil","G, R, W","G, R, W",{1}{R}{G}{W},4.0,Legendary Creature — Cat Warrior,Goad,5,4
"Mazzy, Truesword Paladin","G, R, W","G, R, W",{1}{R}{G}{W},4.0,Legendary Creature — Halfling Knight,,3,4
"Zacama, Primal Calamity","G, R, W","G, R, W",{6}{R}{G}{W},9.0,Legendary Creature — Elder Dinosaur,"Reach, Trample, Vigilance",9,9
"Jared Carthalion, True Heir","G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Human Warrior,,3,3
Nacatl Hunt-Pride,"G, R, W",W,{5}{W},6.0,Creature — Cat Warrior,Vigilance,5,4
Cylian Sunsinger,"G, R, W",G,{1}{G},2.0,Creature — Elf Shaman,,2,2
Sacellum Archers,"G, R, W",G,{2}{G},3.0,Creature — Elf Archer,,2,3
Knotvine Mystic,"G, R, W","G, R, W",{R}{G}{W},3.0,Creature — Elf Druid,,2,2
Meglonoth,"G, R, W","G, R, W",{3}{R}{G}{W},6.0,Creature — Beast,"Trample, Vigilance",6,6
Tamanoa,"G, R, W","G, R, W",{R}{G}{W},3.0,Creature — Spirit,,2,4
The Master of Cuisine,"G, R, W","G, R, W",{R}{G}{W},3.0,Legendary Creature — Human Chef,"Food, Gelato, Pasta, Pizza, Scry",3,3
The Wise Sable,"G, R, W","G, R, W",{4}{W}{R}{G},7.0,Legendary Creature — Elder Sable Judge,Judge Call!,5,5
The Dogronmaster,"G, R, W","G, R, W",{2}{W}{R}{G},5.0,Legendary Creature — Dragon Dog,Flying,3,2
Thornscape Apprentice,"G, R, W",G,{G},1.0,Creature — Human Wizard,,1,1
Thornscape Battlemage,"G, R, W",G,{2}{G},3.0,Creature — Elf Wizard,Kicker,2,2
"Rith, the Awakener","G, R, W","G, R, W",{3}{R}{G}{W},6.0,Legendary Creature — Dragon,Flying,6,6
Rith's Charm,"G, R, W","G, R, W",{R}{G}{W},3.0,Instant,,,
