name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Caves of Koilos,"B, W",,,0.0,Land,,,
Scrubland,"B, W",,,0.0,Land — Plains Swamp,,,
Unburial Rites,"B, W",B,{4}{B},5.0,Sorcery,Flashback,,
Anguished Unmaking,"B, W","B, W",{1}{W}{B},3.0,Instant,,,
Ashen Rider,"B, W","B, W",{4}{W}{W}{B}{B},8.0,Creature — Archon,Flying,5,5
Call to the Feast,"B, W","B, W",{2}{W}{B},4.0,Sorcery,,,
Cartel Aristocrat,"B, W","B, W",{W}{B},2.0,Creature — Human Advisor,,2,2
Deathbringer Liege,"B, W","B, W",{2}{W/B}{W/B}{W/B},5.0,Creature — Horror,,3,4
"Elenda, the Dusk Rose","B, W","B, W",{2}{W}{B},4.0,Legendary Creature — Vampire Knight,Lifelink,1,1
"Kambal, Consul of Allocation","B, W","B, W",{1}{W}{B},3.0,Legendary Creature — Human Advisor,,2,3
Orzhov Pontiff,"B, W","B, W",{1}{W}{B},3.0,Creature — Human Cleric,Haunt,1,1
Orzhov Basilica,"B, W",,,0.0,Land,,,
Hidden Stockpile,"B, W","B, W",{W}{B},2.0,Enchantment,"Revolt, Scry",,
Merciless Eviction,"B, W","B, W",{4}{W}{B},6.0,Sorcery,,,
"Vish Kal, Blood Arbiter","B, W","B, W",{4}{W}{B}{B},7.0,Legendary Creature — Vampire,"Flying, Lifelink",5,5
Fetid Heath,"B, W",,,0.0,Land,,,
Assault Intercessor,"B, W","B, W",{1}{W}{B},3.0,Creature — Astartes Warrior,"Chainsword, First strike, Menace",3,2
Commissar Severina Raine,"B, W","B, W",{1}{W}{B},3.0,Legendary Creature — Human Soldier,"Leading from the Front, Summary Execution",2,2
Company Commander,"B, W","B, W",{2}{W}{B},4.0,Creature — Human Soldier,"Bring it Down!, Command Section",2,4
Exterminatus,"B, W","B, W",{5}{W}{B},7.0,Sorcery,,,
Neyam Shai Murad,"B, W","B, W",{2}{W}{B},4.0,Legendary Creature — Human Rogue,Rogue Trader,3,3
Primaris Chaplain,"B, W","B, W",{2}{W}{B},4.0,Creature — Astartes Cleric,"Battle Cry, Rosarius",3,3
Sister Hospitaller,"B, W","B, W",{4}{W}{B},6.0,Creature — Human Cleric,Medicus Ministorum,3,2
Sister Repentia,"B, W","B, W",{3}{W}{B},5.0,Creature — Human Warrior,"Martyrdom, Miracle",5,1
Mortify,"B, W","B, W",{1}{W}{B},3.0,Instant,,,
Utter End,"B, W","B, W",{2}{W}{B},4.0,Instant,,,
Talisman of Hierarchy,"B, W",,{2},2.0,Artifact,,,
Scoured Barrens,"B, W",,,0.0,Land,,,
Pillory of the Sleepless,"B, W","B, W",{1}{W}{B},3.0,Enchantment — Aura,Enchant,,
Vindicate,"B, W","B, W",{1}{W}{B},3.0,Sorcery,,,
Bleeding Effect,"B, W","B, W",{2}{W}{B},4.0,Enchantment,,,
Shay Cormac,"B, W","B, W",{W}{B},2.0,Legendary Creature — Human Knight Rogue,,1,1
Silent Clearing,"B, W",,,0.0,Land,,,
Despark,"B, W","B, W",{W}{B},2.0,Instant,,,
Necrotic Sliver,"B, W","B, W",{1}{W}{B},3.0,Creature — Sliver,,2,2
Barrowin of Clan Undurr,"B, W","B, W",{2}{W}{B},4.0,Legendary Creature — Dwarf Cleric,Venture into the dungeon,3,3
Triumphant Adventurer,"B, W","B, W",{W}{B},2.0,Creature — Human Knight,"Deathtouch, Venture into the dungeon",1,1
A-Triumphant Adventurer,"B, W","B, W",{W}{B},2.0,Creature — Human Knight,"Deathtouch, Venture into the dungeon",2,1
Wayward Servant,"B, W","B, W",{W}{B},2.0,Creature — Zombie,,2,2
Start // Finish,"B, W",W,{2}{W},6.0,Instant,,,
Forsaken Sanctuary,"B, W",,,0.0,Land,,,
Grind // Dust,"B, W",B,{1}{B},6.0,Sorcery,,,
Tidehollow Sculler,"B, W","B, W",{W}{B},2.0,Artifact Creature — Zombie,,2,2
Spectral Lynx,"B, W",W,{1}{W},2.0,Creature — Cat Spirit,Protection,2,1
Desolation Angel,"B, W",B,{3}{B}{B},5.0,Creature — Angel,"Flying, Kicker",5,4
Mournful Zombie,"B, W",B,{2}{B},3.0,Creature — Zombie,,2,1
Death Grasp,"B, W","B, W",{X}{W}{B},2.0,Sorcery,,,
Gerrard's Verdict,"B, W","B, W",{W}{B},2.0,Sorcery,,,
Martyrs' Tomb,"B, W","B, W",{2}{W}{B},4.0,Enchantment,,,
