name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Sulfurous Springs,"B, R",,,0.0,Land,,,
Sedge Troll,"B, R",R,{2}{R},3.0,Creature — Troll,,2,2
Badlands,"B, R",,,0.0,Land — Swamp Mountain,,,
Ashenmoor Liege,"B, R","B, R",{1}{B/R}{B/R}{B/R},4.0,Creature — Elemental Knight,,4,1
Auger Spree,"B, R","B, R",{1}{B}{R},3.0,Instant,,,
Blazing Hellhound,"B, R","B, R",{2}{B}{R},4.0,Creature — Elemental Dog,,4,3
Fireblade Artist,"B, R","B, R",{B}{R},2.0,Creature — Human Shaman,Haste,2,2
"Judith, the Scourge Diva","B, R","B, R",{1}{B}{R},3.0,Legendary Creature — Human Shaman,,2,2
Kaervek the Merciless,"B, R","B, R",{5}{B}{R},7.0,Legendary Creature — Human Shaman,,5,4
Kolaghan's Command,"B, R","B, R",{1}{B}{R},3.0,Instant,,,
Master of Cruelties,"B, R","B, R",{3}{B}{R},5.0,Creature — Demon,"Deathtouch, First strike",1,4
Terminate,"B, R","B, R",{B}{R},2.0,Instant,,,
Rakdos Carnarium,"B, R",,,0.0,Land,,,
Falkenrath Aristocrat,"B, R","B, R",{2}{B}{R},4.0,Creature — Vampire Noble,"Flying, Haste",4,1
Fulminator Mage,"B, R","B, R",{1}{B/R}{B/R},3.0,Creature — Elemental Shaman,,2,2
Unlicensed Disintegration,"B, R","B, R",{1}{B}{R},3.0,Instant,,,
Graven Cairns,"B, R",,,0.0,Land,,,
Blood for the Blood God!,"B, R","B, R",{8}{B}{B}{R},11.0,Instant,,,
Chaos Defiler,"B, R","B, R",{3}{B}{R},5.0,Artifact Creature — Demon Construct,"Battle Cannon, Trample",5,4
Drach'Nyen,"B, R","B, R",{4}{B}{R},6.0,Legendary Artifact — Equipment,"Daemon Sword, Echo of the First Murder, Equip",,
Helbrute,"B, R","B, R",{3}{B}{R},5.0,Artifact Creature — Astartes Dreadnought,Haste,5,4
Kill! Maim! Burn!,"B, R","B, R",{3}{B}{R},5.0,Instant,,,
Lucius the Eternal,"B, R","B, R",{3}{B}{R},5.0,Legendary Creature — Astartes Warrior,"Armour of Shrieking Souls, Haste",5,3
The Ruinous Powers,"B, R","B, R",{2}{B}{R},4.0,Enchantment,,,
Bituminous Blast,"B, R","B, R",{3}{B}{R},5.0,Instant,Cascade,,
Talisman of Indulgence,"B, R",,{2},2.0,Artifact,,,
Foreboding Ruins,"B, R",,,0.0,Land,,,
Molten Slagheap,"B, R",,,0.0,Land,,,
Urborg Volcano,"B, R",,,0.0,Land,,,
Skeletonize,"B, R",R,{4}{R},5.0,Instant,,,
Blightning,"B, R","B, R",{1}{B}{R},3.0,Sorcery,,,
"Grenzo, Dungeon Warden","B, R","B, R",{X}{B}{R},2.0,Legendary Creature — Goblin Rogue,,2,2
Arno Dorian,"B, R","B, R",{2}{B}{R},4.0,Legendary Creature — Human Assassin,"Deathtouch, Disguise",3,3
Weldfast Engineer,"B, R","B, R",{1}{B}{R},3.0,Creature — Human Artificer,,3,3
"Prosper, Tome-Bound","B, R","B, R",{2}{B}{R},4.0,Legendary Creature — Tiefling Warlock,"Deathtouch, Treasure",1,4
Fevered Suspicion,"B, R","B, R",{6}{B}{R},8.0,Sorcery,Rebound,,
Hurl Through Hell,"B, R","B, R",{2}{B}{R},4.0,Instant,,,
"Karazikar, the Eye Tyrant","B, R","B, R",{3}{B}{R},5.0,Legendary Creature — Beholder,Goad,5,5
Bedevil,"B, R","B, R",{B}{B}{R},3.0,Instant,,,
Rakdos Charm,"B, R","B, R",{B}{R},2.0,Instant,,,
Theater of Horrors,"B, R","B, R",{1}{B}{R},3.0,Enchantment,,,
Rakdos Signet,"B, R",,{2},2.0,Artifact,,,
Shadowblood Ridge,"B, R",,,0.0,Land,,,
Smoldering Marsh,"B, R",,,0.0,Land — Swamp Mountain,,,
Tainted Peak,"B, R",,,0.0,Land,,,
"Kalain, Reclusive Painter","B, R","B, R",{B}{R},2.0,Legendary Creature — Human Elf Bard,Treasure,1,2
"Orcus, Prince of Undeath","B, R","B, R",{X}{2}{B}{R},4.0,Legendary Creature — Demon,"Flying, Trample",5,3
Merciless Javelineer,"B, R","B, R",{2}{B}{R},4.0,Creature — Minotaur Warrior,,4,2
"Neheb, the Worthy","B, R","B, R",{1}{B}{R},3.0,Legendary Creature — Minotaur Warrior,First strike,2,2
Cut // Ribbons,"B, R",R,{1}{R},4.0,Sorcery,,,
Canyon Slough,"B, R",,,0.0,Land — Swamp Mountain,Cycling,,
Cinder Barrens,"B, R",,,0.0,Land,,,
Claim // Fame,"B, R",B,{B},3.0,Sorcery,,,
The Scorpion God,"B, R","B, R",{3}{B}{R},5.0,Legendary Creature — God,,6,5
Undead Leotau,"B, R",B,{5}{B},6.0,Creature — Zombie Cat,Unearth,3,4
Vein Drinker,"B, R",B,{4}{B}{B},6.0,Creature — Vampire,Flying,4,4
Viashino Skeleton,"B, R",R,{3}{R},4.0,Creature — Lizard Skeleton,,2,1
Blood Cultist,"B, R","B, R",{1}{B}{R},3.0,Creature — Human Wizard,,1,1
Goblin Deathraiders,"B, R","B, R",{B}{R},2.0,Creature — Goblin Warrior,Trample,3,1
Balduvian Dead,"B, R",B,{3}{B},4.0,Creature — Zombie,,2,3
Agent of Stromgald,"B, R",R,{R},1.0,Creature — Human Knight,,1,1
Lim-Dûl's Paladin,"B, R","B, R",{2}{B}{R},4.0,Creature — Human Knight,Trample,0,3
Anathemancer,"B, R","B, R",{1}{B}{R},3.0,Creature — Zombie Wizard,Unearth,2,2
Breath of Malfegor,"B, R","B, R",{3}{B}{R},5.0,Instant,,,
Deathbringer Thoctar,"B, R","B, R",{4}{B}{R},6.0,Creature — Zombie Beast,,3,3
Defiler of Souls,"B, R","B, R",{3}{B}{B}{R},6.0,Creature — Demon,Flying,5,5
Demonic Dread,"B, R","B, R",{1}{B}{R},3.0,Sorcery,Cascade,,
Demonspine Whip,"B, R","B, R",{B}{R},2.0,Artifact — Equipment,Equip,,
Igneous Pouncer,"B, R","B, R",{4}{B}{R},6.0,Creature — Elemental,"Cycling, Haste, Mountaincycling, Swampcycling",5,1
Kathari Bomber,"B, R","B, R",{1}{B}{R},3.0,Creature — Bird Shaman,"Flying, Unearth",2,2
Lightning Reaver,"B, R","B, R",{3}{B}{R},5.0,Creature — Zombie Beast,"Fear, Haste",3,3
Monstrous Carabid,"B, R","B, R",{3}{B}{R},5.0,Creature — Insect,Cycling,4,4
Sanity Gnawers,"B, R","B, R",{1}{B}{R},3.0,Creature — Rat,,1,1
Singe-Mind Ogre,"B, R","B, R",{2}{B}{R},4.0,Creature — Ogre Mutant,,3,2
Thought Hemorrhage,"B, R","B, R",{2}{B}{R},4.0,Sorcery,,,
Veinfire Borderpost,"B, R","B, R",{1}{B}{R},3.0,Artifact,,,
Avatar of Discord,"B, R","B, R",{B/R}{B/R}{B/R},3.0,Creature — Avatar,Flying,5,3
Rakdos Guildmage,"B, R","B, R",{B/R}{B/R},2.0,Creature — Zombie Shaman,,2,2
Torrent of Souls,"B, R","B, R",{4}{B/R},5.0,Sorcery,,,
