name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Anaba Bodyguard,R,R,{3}{R},4.0,Creature — Minotaur,First strike,2,3
Arcane Teachings,R,R,{2}{R},3.0,Enchantment — Aura,Enchant,,
Beacon of Destruction,R,R,{3}{R}{R},5.0,Instant,,,
Blaze,R,R,{X}{R},1.0,Sorcery,,,
Bloodfire Colossus,R,R,{6}{R}{R},8.0,Creature — Giant,,6,6
Bloodrock Cyclops,R,R,{2}{R},3.0,Creature — Cyclops,,3,3
Bogardan Firefiend,R,R,{2}{R},3.0,Creature — Elemental Spirit,,2,1
Cone of Flame,R,R,{3}{R}{R},5.0,Sorcery,,,
Cryoclasm,R,R,{2}{R},3.0,Sorcery,,,
Demolish,R,R,{3}{R},4.0,Sorcery,,,
Dragon Roost,R,R,{4}{R}{R},6.0,Enchantment,,,
Duct Crawler,R,R,{R},1.0,Creature — Insect,,1,1
Earth Elemental,R,R,{3}{R}{R},5.0,Creature — Elemental,,4,5
Firebreathing,R,R,{R},1.0,Enchantment — Aura,Enchant,,
Fists of the Anvil,R,R,{1}{R},2.0,Instant,,,
Flamewave Invoker,R,R,{2}{R},3.0,Creature — Goblin Mutant,,2,2
Flowstone Slide,R,R,{X}{2}{R}{R},4.0,Sorcery,,,
Furnace of Rath,R,R,{1}{R}{R}{R},4.0,Enchantment,,,
Furnace Whelp,R,R,{2}{R}{R},4.0,Creature — Dragon,Flying,2,2
Goblin Elite Infantry,R,R,{1}{R},2.0,Creature — Goblin Warrior,,2,2
Goblin King,R,R,{1}{R}{R},3.0,Creature — Goblin,,2,2
Goblin Lore,R,R,{1}{R},2.0,Sorcery,,,
Goblin Piker,R,R,{1}{R},2.0,Creature — Goblin Warrior,,2,1
Goblin Sky Raider,R,R,{2}{R},3.0,Creature — Goblin Warrior,Flying,1,2
Guerrilla Tactics,R,R,{1}{R},2.0,Instant,,,
Hill Giant,R,R,{3}{R},4.0,Creature — Giant,,3,3
Incinerate,R,R,{1}{R},2.0,Instant,,,
"Kamahl, Pit Fighter",R,R,{4}{R}{R},6.0,Legendary Creature — Human Barbarian,Haste,6,1
Lava Axe,R,R,{4}{R},5.0,Sorcery,,,
