name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Brushland,"G, W",,,0.0,Land,,,
Savannah,"G, W",,,0.0,Land — Forest Plains,,,
Emiel the Blessed,"G, W",W,{2}{W}{W},4.0,Legendary Creature — Unicorn,,4,4
Travel Preparations,"G, W",G,{1}{G},2.0,Sorcery,Flashback,,
Chronicler of Heroes,"G, W","G, W",{1}{G}{W},3.0,Creature — Centaur Wizard,,3,3
Conclave Mentor,"G, W","G, W",{G}{W},2.0,Creature — Centaur Cleric,,2,2
Dauntless Escort,"G, W","G, W",{1}{G}{W},3.0,Creature — Rhino Soldier,,3,3
Dragonlord Dromoka,"G, W","G, W",{4}{G}{W},6.0,Legendary Creature — Elder Dragon,"Flying, Lifelink",5,7
Dromoka's Command,"G, W","G, W",{G}{W},2.0,Instant,Fight,,
Privileged Position,"G, W","G, W",{2}{G/W}{G/W}{G/W},5.0,Enchantment,,,
Qasali Pridemage,"G, W","G, W",{G}{W},2.0,Creature — Cat Wizard,Exalted,2,2
Wilt-Leaf Liege,"G, W","G, W",{1}{G/W}{G/W}{G/W},4.0,Creature — Elf Knight,,4,4
Selesnya Sanctuary,"G, W",,,0.0,Land,,,
Rhys the Redeemed,"G, W","G, W",{G/W},1.0,Legendary Creature — Elf Warrior,,1,1
Selesnya Guildmage,"G, W","G, W",{G/W}{G/W},2.0,Creature — Elf Wizard,,2,2
Voice of Resurgence,"G, W","G, W",{G}{W},2.0,Creature — Elemental,,2,2
Wooded Bastion,"G, W",,,0.0,Land,,,
Elfhame Palace,"G, W",,,0.0,Land,,,
Knight of the Skyward Eye,"G, W",W,{1}{W},2.0,Creature — Human Knight,,2,2
Eladamri's Call,"G, W","G, W",{G}{W},2.0,Instant,,,
Watchwolf,"G, W","G, W",{G}{W},2.0,Creature — Wolf,,3,3
Ajani Unyielding,"G, W","G, W",{4}{G}{W},6.0,Legendary Planeswalker — Ajani,,,
Oath of Ajani,"G, W","G, W",{G}{W},2.0,Legendary Enchantment,,,
Renegade Rallier,"G, W","G, W",{1}{G}{W},3.0,Creature — Human Warrior,Revolt,3,2
"Ajani, Valiant Protector","G, W","G, W",{4}{G}{W},6.0,Legendary Planeswalker — Ajani,,,
Ajani's Aid,"G, W","G, W",{2}{G}{W},4.0,Enchantment,,,
Tranquil Expanse,"G, W",,,0.0,Land,,,
Catti-brie of Mithral Hall,"G, W","G, W",{G}{W},2.0,Legendary Creature — Human Archer,"First strike, Reach",2,2
Behemoth Sledge,"G, W","G, W",{1}{G}{W},3.0,Artifact — Equipment,Equip,,
Fleecemane Lion,"G, W","G, W",{G}{W},2.0,Creature — Cat,Monstrosity,3,3
Knight of Autumn,"G, W","G, W",{1}{G}{W},3.0,Creature — Dryad Knight,,2,1
Canopy Vista,"G, W",,,0.0,Land — Forest Plains,,,
Fortified Village,"G, W",,,0.0,Land,,,
Sungrass Prairie,"G, W",,,0.0,Land,,,
"Vitu-Ghazi, the City-Tree","G, W",,,0.0,Land,,,
Drizzt Do'Urden,"G, W","G, W",{3}{G}{W},5.0,Legendary Creature — Elf Ranger,Double strike,3,3
"Trelasarra, Moon Dancer","G, W","G, W",{G}{W},2.0,Legendary Creature — Elf Cleric,Scry,2,2
Ahn-Crop Champion,"G, W","G, W",{2}{G}{W},4.0,Creature — Human Warrior,Exert,4,4
Prepare // Fight,"G, W",W,{1}{W},6.0,Instant,,,
Scattered Groves,"G, W",,,0.0,Land — Forest Plains,Cycling,,
Pride Sovereign,"G, W",G,{2}{G},3.0,Creature — Cat,Exert,2,2
Appeal // Authority,"G, W",G,{G},3.0,Sorcery,,,
Rockcaster Platoon,"G, W",W,{5}{W}{W},7.0,Creature — Rhino Soldier,,5,7
Godtoucher,"G, W",G,{3}{G},4.0,Creature — Elf Cleric,,2,2
