name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
"Animar, Soul of Elements","G, R, U","G, R, U",{G}{U}{R},3.0,Legendary Creature — Elemental,Protection,1,1
Bear's Companion,"G, R, U","G, R, U",{2}{G}{U}{R},5.0,Creature — Human Warrior,,2,2
Guided Passage,"G, R, U","G, R, U",{G}{U}{R},3.0,Sorcery,,,
"Intet, the Dreamer","G, R, U","G, R, U",{3}{G}{U}{R},6.0,Legendary Creature — Dragon,Flying,6,6
Riku of Two Reflections,"G, R, U","G, R, U",{2}{G}{U}{R},5.0,Legendary Creature — Human Wizard,,2,2
The Swarmlord,"G, R, U","G, R, U",{3}{G}{U}{R},6.0,Legendary Creature — Tyranid,"Rapid Regeneration, Xenos Cunning",5,5
Magus Lucea Kane,"G, R, U","G, R, U",{1}{G}{U}{R},4.0,Legendary Creature — Human Tyranid Wizard,"Psychic Stimulus, Spiritual Leader",1,1
The First Tyrannic War,"G, R, U","G, R, U",{2}{G}{U}{R},5.0,Enchantment — Saga,,,
Frontier Bivouac,"G, R, U",,,0.0,Land,,,
Ceta Disciple,"G, R, U",U,{U},1.0,Creature — Merfolk Wizard,,1,1
Cetavolver,"G, R, U",U,{1}{U},2.0,Creature — Volver,Kicker,1,1
"Loot, the Key to Everything","G, R, U","G, R, U",{G}{U}{R},3.0,Legendary Creature — Beast Noble,Ward,1,2
"Flubs, the Fool","G, R, U","G, R, U",{G}{U}{R},3.0,Legendary Creature — Frog Scout,,0,5
"Kalamax, the Stormsire","G, R, U","G, R, U",{1}{G}{U}{R},4.0,Legendary Creature — Elemental Dinosaur,,4,4
"Xyris, the Writhing Storm","G, R, U","G, R, U",{2}{G}{U}{R},5.0,Legendary Creature — Snake Leviathan,Flying,3,5
Temur Charm,"G, R, U","G, R, U",{G}{U}{R},3.0,Instant,Fight,,
"Miirym, Sentinel Wyrm","G, R, U","G, R, U",{3}{G}{U}{R},6.0,Legendary Creature — Dragon Spirit,"Flying, Ward",6,6
Maelstrom Wanderer,"G, R, U","G, R, U",{5}{G}{U}{R},8.0,Legendary Creature — Elemental,Cascade,7,5
"Averna, the Chaos Bloom","G, R, U","G, R, U",{G}{U}{R},3.0,Legendary Creature — Elemental Shaman,,4,2
Riku and Riku,"G, R, U","G, R, U",{2}{R/G}{U},4.0,Legendary Creature — Human Wizard,Double strike,2,2
Research // Development,"G, R, U","U, G",{G}{U},7.0,Instant,,,
"Illuna, Apex of Wishes","G, R, U","G, R, U",{2}{G}{U}{R},5.0,Legendary Creature — Beast Elemental Dinosaur,"Flying, Mutate, Trample",6,6
Surrak Dragonclaw,"G, R, U","G, R, U",{2}{G}{U}{R},5.0,Legendary Creature — Human Warrior,Flash,6,6
Vodalian Mindsinger,"G, R, U",U,{1}{U}{U},3.0,Creature — Merfolk Wizard,Kicker,2,2
Sarkhan Unbroken,"G, R, U","G, R, U",{2}{G}{U}{R},5.0,Legendary Planeswalker — Sarkhan,,,
Shaman of the Great Hunt,"G, R, U",R,{3}{R},4.0,Creature — Orc Shaman,"Ferocious, Haste",4,2
Yasova Dragonclaw,"G, R, U",G,{2}{G},3.0,Legendary Creature — Human Warrior,Trample,4,2
Mythos of Illuna,"G, R, U",U,{2}{U}{U},4.0,Sorcery,Fight,,
Genesis Ultimatum,"G, R, U","G, R, U",{G}{G}{U}{U}{U}{R}{R},7.0,Sorcery,,,
Song of Creation,"G, R, U","G, R, U",{1}{G}{U}{R},4.0,Enchantment,,,
Ketria Crystal,"G, R, U",,{3},3.0,Artifact,Cycling,,
Ketria Triome,"G, R, U",,,0.0,Land — Forest Island Mountain,Cycling,,
