name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Ancestor's Chosen,W,W,{5}{W}{W},7.0,Creature — Human Cleric,First strike,4,4
Angel of Mercy,W,W,{4}{W},5.0,Creature — Angel,Flying,3,3
Angelic Blessing,W,W,{2}{W},3.0,Sorcery,,,
Angelic Chorus,W,W,{3}{W}{W},5.0,Enchantment,,,
Angelic Wall,W,W,{1}{W},2.0,Creature — Wall,"Defender, Flying",0,4
Aura of Silence,W,W,{1}{W}{W},3.0,Enchantment,,,
Aven Cloudchaser,W,W,{3}{W},4.0,Creature — Bird Soldier,Flying,2,2
Ballista Squad,W,W,{3}{W},4.0,Creature — Human Rebel,,2,2
Bandage,W,W,{W},1.0,Instant,,,
Beacon of Immortality,W,W,{5}{W},6.0,Instant,,,
Benalish Knight,W,W,{2}{W},3.0,Creature — Human Knight,"First strike, Flash",2,2
"Cho-Manno, Revolutionary",W,W,{2}{W}{W},4.0,Legendary Creature — Human Rebel,,2,2
Condemn,W,W,{W},1.0,Instant,,,
Demystify,W,W,{W},1.0,Instant,,,
Field Marshal,W,W,{1}{W}{W},3.0,Creature — Human Soldier,,2,2
Ghost Warden,W,W,{1}{W},2.0,Creature — Spirit,,1,1
Glorious Anthem,W,W,{1}{W}{W},3.0,Enchantment,,,
Hail of Arrows,W,W,{X}{W},1.0,Instant,,,
Heart of Light,W,W,{2}{W},3.0,Enchantment — Aura,Enchant,,
High Ground,W,W,{W},1.0,Enchantment,,,
Holy Day,W,W,{W},1.0,Instant,,,
Holy Strength,W,W,{W},1.0,Enchantment — Aura,Enchant,,
Honor Guard,W,W,{W},1.0,Creature — Human Soldier,,1,1
Icatian Priest,W,W,{W},1.0,Creature — Human Cleric,,1,1
Kjeldoran Royal Guard,W,W,{3}{W}{W},5.0,Creature — Human Soldier,,2,5
Loxodon Mystic,W,W,{3}{W}{W},5.0,Creature — Elephant Cleric,,3,3
Loyal Sentry,W,W,{W},1.0,Creature — Human Soldier,,1,1
Luminesce,W,W,{W},1.0,Instant,,,
Mobilization,W,W,{2}{W},3.0,Enchantment,,,
Nomad Mythmaker,W,W,{2}{W},3.0,Creature — Human Nomad Cleric,,2,2
Pacifism,W,W,{1}{W},2.0,Enchantment — Aura,Enchant,,
Paladin en-Vec,W,W,{1}{W}{W},3.0,Creature — Human Knight,"First strike, Protection",2,2
Pariah,W,W,{2}{W},3.0,Enchantment — Aura,Enchant,,
Reviving Dose,W,W,{2}{W},3.0,Instant,,,
Reya Dawnbringer,W,W,{6}{W}{W}{W},9.0,Legendary Creature — Angel,Flying,4,6
Righteousness,W,W,{W},1.0,Instant,,,
Rule of Law,W,W,{2}{W},3.0,Enchantment,,,
Samite Healer,W,W,{1}{W},2.0,Creature — Human Cleric,,1,1
Serra Angel,W,W,{3}{W}{W},5.0,Creature — Angel,"Flying, Vigilance",4,4
Serra's Embrace,W,W,{2}{W}{W},4.0,Enchantment — Aura,Enchant,,
