name,colorIdentity,colors,manaCost,manaValue,type,keywords,power,toughness
Composite Golem,"B, G, R, U, W",,{6},6.0,Artifact Creature — Golem,,4,4
Legacy Weapon,"B, G, R, U, W",,{7},7.0,Legendary Artifact,,,
Child of Alara,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Creature — Avatar,Trample,6,6
"Jodah, Archmage Eternal","B, G, R, U, W","R, U, W",{1}{U}{R}{W},4.0,Legendary Creature — Human Wizard,Flying,4,3
Maelstrom Nexus,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Enchantment,,,
Sphinx of the Guildpact,"B, G, R, U, W","B, G, R, U, W",{7},7.0,Artifact Creature — Sphinx,"Flying, Hexproof, Hexproof from",5,5
Bringer of the White Dawn,"B, G, R, U, W",W,{7}{W}{W},9.0,Creature — Bringer,Trample,5,5
Bringer of the Blue Dawn,"B, G, R, U, W",U,{7}{U}{U},9.0,Creature — Bringer,Trample,5,5
Bringer of the Black Dawn,"B, G, R, U, W",B,{7}{B}{B},9.0,Creature — Bringer,Trample,5,5
Bringer of the Red Dawn,"B, G, R, U, W",R,{7}{R}{R},9.0,Creature — Bringer,Trample,5,5
Bringer of the Green Dawn,"B, G, R, U, W",G,{7}{G}{G},9.0,Creature — Bringer,Trample,5,5
Channel the Suns,"B, G, R, U, W",G,{3}{G},4.0,Sorcery,,,
Door to Nothingness,"B, G, R, U, W",,{5},5.0,Artifact,,,
Fist of Suns,"B, G, R, U, W",,{3},3.0,Artifact,,,
Conflux,"B, G, R, U, W","B, G, R, U, W",{3}{W}{U}{B}{R}{G},8.0,Sorcery,,,
Ezio Auditore da Firenze,"B, G, R, U, W",B,{1}{B},2.0,Legendary Creature — Human Assassin,Menace,3,2
Tiamat,"B, G, R, U, W","B, G, R, U, W",{2}{W}{U}{B}{R}{G},7.0,Legendary Creature — Dragon God,Flying,7,7
Cromat,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Creature — Illusion,,5,5
Last Stand,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Sorcery,,,
"Najeela, the Blade-Blossom","B, G, R, U, W",R,{2}{R},3.0,Legendary Creature — Human Warrior,,3,2
Prism Array,"B, G, R, U, W",U,{4}{U},5.0,Enchantment,"Converge, Scry",,
Chromanticore,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Enchantment Creature — Manticore,"Bestow, First strike, Flying, Lifelink, Trample, Vigilance",4,4
Genju of the Realm,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Enchantment — Aura,Enchant,,
"Ramos, Dragon Engine","B, G, R, U, W",,{6},6.0,Legendary Artifact Creature — Dragon,Flying,4,4
"O-Kagachi, Vengeful Kami","B, G, R, U, W","B, G, R, U, W",{1}{W}{U}{B}{R}{G},6.0,Legendary Creature — Dragon Spirit,"Flying, Trample",6,6
The Ur-Dragon,"B, G, R, U, W","B, G, R, U, W",{4}{W}{U}{B}{R}{G},9.0,Legendary Creature — Dragon Avatar,"Eminence, Flying",10,10
Scion of the Ur-Dragon,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Creature — Dragon Avatar,Flying,4,4
Slivdrazi Monstrosity,"B, G, R, U, W","B, G, R, U, W",{C}{W}{U}{B}{R}{G},6.0,Legendary Creature — Sliver Eldrazi,,8,8
"Morophon, the Boundless","B, G, R, U, W",,{7},7.0,Legendary Creature — Shapeshifter,Changeling,6,6
Sliver Gravemother,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Creature — Sliver,Encore,6,6
"Rukarumel, Biologist","B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Creature — Human Wizard,,3,3
Sliver Hivelord,"B, G, R, U, W","B, G, R, U, W",{W}{U}{B}{R}{G},5.0,Legendary Creature — Sliver,,5,5
Paragon of the Amesha,"B, G, R, U, W",W,{2}{W},3.0,Creature — Human Knight,First strike,2,2
Fleshformer,"B, G, R, U, W",B,{2}{B},3.0,Creature — Human Wizard,,2,2
